vid,cid,title,description
_a2qms0ZBIg,UCN0-RRaxMgh86eOwndAklxw,Coffee Tactics For Ultimate Productivity,High Thumos Clothing: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition Sverige: ...
7tRQnqehAcA,UCN0-RRaxMgh86eOwndAklxw,Sculpting a Shredded Physique - Part 2. A Note on Training When Cutting,Podcast: https://www.patreon.com/thegoldenone or https://www.subscribestar.com/thegoldenone ⚜High Thumos Clothing + My ...
2ZsPreFTRAY,UCN0-RRaxMgh86eOwndAklxw,Sculpting a Shredded Physique - Part 1. BOGOMILMAXX - Intermittent Fasting,High Thumos Clothing + My Book: https://legiogloria.com/ 🎙️Podcast: https://www.patreon.com/thegoldenone or ...
71FA9EkHGH8,UCN0-RRaxMgh86eOwndAklxw,Basking in the Sun - An Encouragement,I only made this video so you would follow this link: https://thegoldenone.se/2021/02/24/the-golden-one-videoplatform/ ⚜High ...
MJwncHyFsJo,UCN0-RRaxMgh86eOwndAklxw,God Jul and Merry Christmas!,High Thumos Clothing + My Book: https://legiogloria.com/ ⚜Exclusive content (+support): https://www.patreon.com/thegoldenone ...
NJFzzKGpd-g,UCN0-RRaxMgh86eOwndAklxw,No Nut November - Are You In?,Garment seen in thumbnail: https://legiogloria.com/product/saturnus-meditation-garment/ The garment in the video is also ...
_R6eB_oSl-Y,UCN0-RRaxMgh86eOwndAklxw,Meditation - Easy Breathing Technique. Try it out!,High Thumos Clothing + My Book: https://legiogloria.com/ ⚜Exclusive content (+support): https://www.patreon.com/thegoldenone ...
oR_rDR1YgL4,UCN0-RRaxMgh86eOwndAklxw,Isolation Heavybag Session. 20 Minutes Home Workout.,High Thumos Clothing + My Book: https://legiogloria.com/ ⚜Exclusive content (+support): https://www.patreon.com/thegoldenone ...
yP0GvKnWcFM,UCN0-RRaxMgh86eOwndAklxw,Coronavirus Seclusion Training Update,Physique Manufactorum (exclusive training videologs ): https://www.subscribestar.com/thegoldenone or ...
7rI2KKXTni4,UCN0-RRaxMgh86eOwndAklxw,Age of Empires 4 Announced. Good Times!,"No real insights, just wanted to share my excitement :-) Age of Empires + Total War = the best history teachers. ⚜High Thumos ..."
OdS4IfLgR64,UCN0-RRaxMgh86eOwndAklxw,Glorious News. Total War: Troy. A Note on the Illiad and Achilles,High Thumos Clothing: https://legiogloria.com/ ⚜Svenska kosttillskott: https://jotunheimnutrition.com/ ⚜The Greatest Instagram: ...
4b3271NKP-g,UCN0-RRaxMgh86eOwndAklxw,Intermittent Fasting When Bulking?,High Thumos Clothing: https://legiogloria.com/ ⚜Swedish Supplements: https://jotunheimnutrition.com/ ⚜The Greatest Instagram: ...
x6BZvi3vjzU,UCN0-RRaxMgh86eOwndAklxw,Shout-Out Time and a Joyous Story - Epic Metal Song,Epic metal song: https://www.youtube.com/watch?v=R416zOhSNwg My Spotify list: ...
YTyZXvaaBpw,UCN0-RRaxMgh86eOwndAklxw,How To Meditate - Quick Meditation Guide by The Golden One,My book is available here: https://legiogloria.com/ Follow me on Telegram: https://t.me/thegoldenone ⚜Support the channel: ...
lCR6hTW9Clw,UCN0-RRaxMgh86eOwndAklxw,The Golden One Responds to Fake News Journalist Peter Wolodarski,"A beta journalist is implying things, in a typically passive agressive way. A shameful display. ⚜Support the channel: ..."
QvPCSWOg2Ec,UCN0-RRaxMgh86eOwndAklxw,The Golden One Visiting the Netherlands. Nature and Architecture,Why my comments are disabled: https://www.youtube.com/watch?v=4EA9p9K1siA Music by Elessar: ...
7ZgvsOJ44HU,UCN0-RRaxMgh86eOwndAklxw,My Spotify List - What Music Do I Listen To When Training?,The Golden One PWO of Metal and Glory: ...
omHavlf_vLM,UCN0-RRaxMgh86eOwndAklxw,The Darkening Age and the Temple of Serapis. Did You Know About This?,Book: The Darkening Age - The Christian Destruction of the Classical World by Catherine Nixey. ⚜High Thumos Clothing: ...
hLS6ls45SHE,UCN0-RRaxMgh86eOwndAklxw,Bronze Age Mindset - Interview and The Necessity of Space for European Men,I only made this video so I could refer you to this interview: ...
9_EW87h7kDw,UCN0-RRaxMgh86eOwndAklxw,The Glorious Pill. The Black Pill. The Honk Pill. Ride The Tiger in the Ruins of the West,Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: https://legiogloria.com/ ⚜Swedish ...
Mu5jBi26Fx0,UCN0-RRaxMgh86eOwndAklxw,Hyperborean Sacred Werewolf Training for the Rebirth of Europa,A heartfelt thank you for all of the well-wishes and congratulations on my daughter :-) Music by Elessar: ...
n3wCuBDc2Os,UCN0-RRaxMgh86eOwndAklxw,Channel Update. What&#39;s Going On Big Guy?,I will soon have a daughter in addition to my Thousand Sons :-) I will take a few weeks off but I will be back with plenty of content ...
1nVtuiTwWIg,UCN0-RRaxMgh86eOwndAklxw,To All Hungarians: These Swedish Politicians Do Not Represent The Swedish People,Swedish ministers compare Hungary to the Third Reich after the Hungarian government proposes tax cuts for Hungarian mothers ...
1ddT49Sk53g,UCN0-RRaxMgh86eOwndAklxw,"France Bans All Five Pesticides Killing Bees. A White-Green Pill. Also, Vote With Your Wallet",Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: https://legiogloria.com/ ⚜Swedish ...
RV7Nx4LRNkE,UCN0-RRaxMgh86eOwndAklxw,Glorious African Cardinal: Europe has lost its roots and is invaded by other cultures,Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: https://legiogloria.com/ ⚜Swedish ...
JgRX064nDds,UCN0-RRaxMgh86eOwndAklxw,"God Jul &amp; Merry Christmas, my Joocey Pale Orcs. Also, a Note to all Artbrahs",Contact: https://thegoldenone.se/contact/ ⚜Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: ...
pwueuk4gT2Q,UCN0-RRaxMgh86eOwndAklxw,Dacian Wolf Cult,Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: https://legiogloria.com/ ⚜Swedish ...
Y2U1kAgCkCo,UCN0-RRaxMgh86eOwndAklxw,Black Friday. Holy Day of the Modern World - Spirituality and Paganism,Black Friday (or lack thereof) at Legio Gloria: https://thegoldenone.se/2018/11/23/black-friday-at-legio-gloria/ ⚜High Thumos ...
2_7Cwlo8udQ,UCN0-RRaxMgh86eOwndAklxw,"Stop Consuming Palm Oil. Stop Deforestation - Save Tigers, Elephants And Orangutans",Support the channel: https://www.patreon.com/thegoldenone ⚜High Thumos Clothing: https://legiogloria.com/ ⚜Swedish ...
9MYxajLDijs,UCN0-RRaxMgh86eOwndAklxw,Nofap November. Everyone Who Does Not Participate Misses An Opportunity For Self-Improvement,High testosterone garments: https://legiogloria.com/ ⚜Support the channel: https://www.patreon.com/thegoldenone ⚜Swedish ...
TVwk71g08Q4,UCN0-RRaxMgh86eOwndAklxw,The Golden One - Daily Stretching Routine For High Kicks And Squats,New releases now available: https://legiogloria.com/ Swedish supplements: https://jotunheimnutrition.com/ The Greatest ...
xvb7EpqFVd8,UCN0-RRaxMgh86eOwndAklxw,Emmanuel Macron&#39;s Embarrassing Posing With Robber - Absolutely Unworthy of France,Support the channel: https://www.patreon.com/thegoldenone ☩ Hanseatic Clothing Company: https://legiogloria.com/ ...
CZaG6n4oHiI,UCN0-RRaxMgh86eOwndAklxw,"The Dalai Lama Supports European Nationalism. Speak the truth, even if your voice shakes.",Support the channel: https://www.patreon.com/thegoldenone PayPal to thelegion@thegoldenone.se High Thumos Clothing ...
QpiZdjByWmo,UCN0-RRaxMgh86eOwndAklxw,Big Man Tyrone and The Golden One Have An Important Message. No Porn,Support the channel: https://www.patreon.com/thegoldenone ☩ Hanseatic Clothing Company: https://legiogloria.com/ ☩ Swedish ...
C08-tZ5ENKM,UCN0-RRaxMgh86eOwndAklxw,The Lie About Russian Election Interference. No - Swedish Nationalists Do Not Get Money From Putin,Patreon: https://www.patreon.com/thegoldenone ☩ Hanseatic Clothing Company: https://legiogloria.com/ ☩ VirtualShield: ...
ktn8wfPn28c,UCN0-RRaxMgh86eOwndAklxw,New Zealand Bans Single-Use Plastic Bag. Joyous News!,On turtles and plastic pollution: https://conserveturtles.org/information-sea-turtles-threats-marine-debris/ ☩ Patreon: ...
l51xAtGIB5g,UCN0-RRaxMgh86eOwndAklxw,"Thank You, Poland - From the Swedish People","Thank you, Poland for your help, now and then. I would have had my suit on but since this highly aesthetic tanktop is made in ..."
jMmsjSwQaGQ,UCN0-RRaxMgh86eOwndAklxw,1 Year of Cold Showers Update - Why You Should Do It,Hanseatic Clothing Company: https://legiogloria.com/ ⚜️ Jotunheim Nutrition: https://jotunheimnutrition.com/ ☩ VirtualShield: ...
hjkJ4amLMHc,UCN0-RRaxMgh86eOwndAklxw,"Channel Update. Greetings, Lads. Jotunheim Nutrition.","Nordic lads, for you: https://jotunheimnutrition.com/ The book I mentioned: https://www.logik.se/Produkt/yockey-a-fascist-odyssey/ ..."
ZIIDXze-SoQ,UCN0-RRaxMgh86eOwndAklxw,The Garden of Prosperity - Permaculture: Humble Beginnings,In case you haven't watched this interview yet: https://www.youtube.com/watch?v=rXQX7cVppfw This was not sponsored by ...
ULm1cUTJJE0,UCN0-RRaxMgh86eOwndAklxw,Rodrigo Duterte - Still My Hero. A Note on Accepting Responsibility,Follow me on Twitter: https://twitter.com/TheGloriousLion ☩ The Greatest Instagram: https://instagram.com/thegloriouslion ...
Qt3V3GPnO1c,UCN0-RRaxMgh86eOwndAklxw,Training in Jotunheim. The Mars Challenge. Legio Gloria Challenge: March. Part 1,"Instructions: https://www.youtube.com/watch?v=bAwE-eiNX9c Also, extremely epic video where the music and speech is from: ..."
emyh0aGglEk,UCN0-RRaxMgh86eOwndAklxw,Elven Pagan Ritual. Ice Bath and Thumos for the Primordial Beast,The Greatest Instagram: https://instagram.com/thegloriouslion ☩ Glorious Garments: https://legiogloria.com/ ☩ Patreon: ...
6Be7iC05t40,UCN0-RRaxMgh86eOwndAklxw,The Golden One Thaiboxing Training,Shout-out to The Master of the Faith Survive the Jive for the glorious filming at the first part of the video. Check out his channel ...
lRU2LUwyJvM,UCN0-RRaxMgh86eOwndAklxw,Greetings from Thailand,INSTAGRAM: http://instagram.com/thegloriouslion ⚜ Article: Training and Nutrition. Degeneracy Free Zone and a Capitalist ...
NLkFyhmt4vA,UCN0-RRaxMgh86eOwndAklxw,A Must Have Item For the Gym,Jotunheim Nutrition US: https://jotunheimnutrition.com/ Sverige: https://jotunheimnutrition.se/ Europe: https://jotunheimnutrition.de/ ...
VmytSGTizUY,UCN0-RRaxMgh86eOwndAklxw,Elon Musk Buys Twitter – A Victory For Freedom of Speech?,Twitter: https://twitter.com/TheGloriousLion ⚜High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: ...
ozjyiXEQZr0,UCN0-RRaxMgh86eOwndAklxw,Does the Army Turn Boys Into Men?,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
jWOWWC5zEtU,UCN0-RRaxMgh86eOwndAklxw,Momentum Is King – Bombard Your Mind To Learn – Train Everyday,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
c70dhKdSRAk,UCN0-RRaxMgh86eOwndAklxw,Three Ways to View Alchemy – The Hermetic Tradition,Book review: https://thegoldenone.se/ ⚜High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: ...
M64e3ZfA2PI,UCN0-RRaxMgh86eOwndAklxw,I Forgot To Mention Something,Podcast Episode 13. Archetypes is available for non-subscribers: https://www.subscribestar.com/thegoldenone ⚜High-Thumos ...
0BXysBkKMa0,UCN0-RRaxMgh86eOwndAklxw,BANNED: Patreon Removed My Podcast Page,Subscribe to the Podcast here instead: https://www.subscribestar.com/thegoldenone https://thegoldenone.gumroad.com/ ...
q5-j4ekMdv4,UCN0-RRaxMgh86eOwndAklxw,Q&amp;A. Coming Books? Situation in Canada? Greatest Game? Coming Projects? Oera Linda Manuscript?,1. Coming books? 2. Greatest game of all time? 02:46 3. Canada? 04:23 4. Coming projects: 06:16 5. Oera Linda Book: 07:36 ...
ICrDXSaq69Y,UCN0-RRaxMgh86eOwndAklxw,"A Vision I Have Had For 20 Years! Also, New MMA-Shorts For Legio Gloria",High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
aFiS90_Dywk,UCN0-RRaxMgh86eOwndAklxw,Total War: Warhammer 3. Epic Cinematics and a Look at the Great Orthodoxy,A heartfelt thank you to my gallant friend Jan for the game! ⚜High-Thumos European Clothing + Dauntless: ...
suvWm8UDJ6Q,UCN0-RRaxMgh86eOwndAklxw,I Wanted to Prove a Point,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
B2WV3VKSQJs,UCN0-RRaxMgh86eOwndAklxw,A Note on Reading Books – A Note on Dostoevsky&#39;s Crime and Punishment,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
43g9HMk4TE8,UCN0-RRaxMgh86eOwndAklxw,I Was Angry And Frustrated With Myself,High-Thumos European Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim ...
5eEhLlRQFdE,UCN0-RRaxMgh86eOwndAklxw,"A Heads Up – Also, What Do I Mean By &#39;Magic&#39;?",Podcast: https://thegoldenone.se/podcast/ ⚜High-Thumos Clothing + Dauntless: https://legiogloria.com/ Jotunheim Nutrition ...
iQja0tt8F-I,UCN0-RRaxMgh86eOwndAklxw,Deadlifts &#39;Only&#39; Once A Week – A Note on Deadlifts and Squats,Swedish Powerlifting Belt + Dauntless: https://legiogloria.com/ The Hierotitan-class Hypertrophy Plan: ...
gibh_sI7Pp4,UCN0-RRaxMgh86eOwndAklxw,&quot;INCELS&quot;,High Thumos Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition ...
M5o6qtnlHhM,UCN0-RRaxMgh86eOwndAklxw,"Essential Washing Wisdom – Organic Cotton, Wool, Linen",Max 30 degrees Celsius. Handwash program (is possible). Low agitation (400 RPM). NEW RELEASES: https://legiogloria.com/ ...
b_KYJbjDWAs,UCN0-RRaxMgh86eOwndAklxw,Will I Join GETTR? A Note on Freedom of Speech,Telegram: https://t.me/thegoldenone Gab: https://gab.com/TheGoldenOne ⚜High Thumos Clothing + Dauntless: ...
myCQQZQpuCw,UCN0-RRaxMgh86eOwndAklxw,Do I Believe In God? What Is My Religion?,Listen to Podcast Episode 17: God for a more in-depth discussion: https://thegoldenone.se/podcast/ Books reviews: ...
pojr13szcVA,UCN0-RRaxMgh86eOwndAklxw,Anxious in the Gym? No Need! Practical Advice For Beginners,Physique Manufactorum: https://thegoldenone.se/physique/ ⚜High Thumos Clothing + Dauntless: https://legiogloria.com/ ...
KXhyumro0oY,UCN0-RRaxMgh86eOwndAklxw,New Year – New Notebook. Motivation and Productivity,High Thumos Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition ...
f646tJ3yBh4,UCN0-RRaxMgh86eOwndAklxw,God Jul and Merry Christmas!,Book reviews + Podcast: https://thegoldenone.se/podcast/ Social Media Telegram: https://t.me/thegoldenone Gab: ...
bngVFxeXJhY,UCN0-RRaxMgh86eOwndAklxw,Christmas Chaos,High Thumos Clothing + Dauntless: https://legiogloria.com/ 🎙️Podcast: https://thegoldenone.se/podcast/ Jotunheim Nutrition ...
