title,country,mbfc_page,bias_raw,factual,label,url,channel_id
Blue State Daily,US,left,left2,Mixed,L,https://bluestatedaily.com,
Boston Review,US,left,left11,High,L,http://bostonreview.net,UCEOtO8PPWXpCQmX1QpTx3EQ
Capital & Main,US,left,left10,High,L,https://capitalandmain.com,UCjfpIrbyc1hMT-CRZWbGF4g
Care2,US,left,left3,Mixed,L,https://www.care2.com,UCAMOfF2PUYfKRLZuLATO1Tg
Center for Media and Democracy (PR Watch),US,left,left8,High,L,https://www.prwatch.org/,UC3Qs31jxhhi0tOMhSEpe3WQ
Center for American Progress,US,left,left7,MostlyFactual,L,https://www.americanprogress.org/,UC0COu43Li7CUL2jseBpH9kQ
Chronicles of Democracy,US,left,left8,High,L,https://www.chroniclesofdemocracy.com/,
The Chicago Reporter,US,left,left8,High,L,https://www.chicagoreporter.com/,UCKL_VqV2UqBnmjGy4fLQ24g
Center for a Stateless Society,US,left,left1,High,L,https://c4ss.org/,UCOA38--mWqKKdCAr6eFy-sA
Change.org,US,left,left8,Mixed,L,https://www.change.org/,UCy8352SHLMMjC_jLYuYYw7A
Citizen Critics,US,left,left12,High,L,https://citizencritics.org,
Chicago Reader,US,left,left8,High,L,https://www.chicagoreader.com/,UCSAEKsuh_gwX_MmpRjLhdMw
CNN,US,left,left10,Mixed,L,https://edition.cnn.com/,UCupvZG-5ko_eiXAupbDfxWw
Columbus Free Press,US,left,left4,Mixed,L,https://columbusfreepress.com,
Cop Block,US,left,left5,Mixed,L,http://www.copblock.org/,UCl-qkifCsEcn0AuTSRiZ0Lw
Common Dreams,US,left,left6,High,L,https://www.commondreams.org/,UC5hQlpIgUxFa9q8iTP6LOBQ
Code Pink,US,left,left1,Mixed,L,https://www.codepink.org,UCSTEGsYwuvPpwjtIufg7gzA
Comic Sands,US,left,left3,Mixed,L,https://www.comicsands.com,
Cosmopolitan,US,left,left3,Mixed,L,https://www.cosmopolitan.com/,UC4LADtN8xwppFydHUB1s5uA
CounterCurrents.org,US,left,left8,High,L,https://www.countercurrents.org/,UCrXmzxXsc8I0jIBWc51ti2g
CounterPunch,US,left,left3,MostlyFactual,L,https://www.counterpunch.org,
Crooked Media,US,left,left7,MostlyFactual,L,https://crooked.com/,UCKRoXz3hHAu2XL_k3Ef4vJQ
CrimethInc,US,left,left8,High,L,https://crimethinc.com/,UC7G7MpISQn4wt3HEIXgN6GQ
Current Affairs Magazine,US,left,left9,High,L,https://www.currentaffairs.org/,UCSmOl7Hau-YX2VKfz1CMAZQ
Crooks and Liars,US,left,left3,MostlyFactual,L,https://crooksandliars.com,UCzTy5FV9S-JqMaJOq4AxySQ
Daily Dot,US,left,left10,High,L,http://www.dailydot.com/,UCPky_U7C3p6Y7qMoLCsTA-w
Daily Beast,US,left,left7,MostlyFactual,L,https://www.thedailybeast.com/,UC7qZ_e097NBkgOljy1joVRA
Daily Kos,US,left,left2,Mixed,L,https://www.dailykos.com/,UC1Z1i5ClfrJhyu9z1hlmDkQ
Daily News Bin,US,left,left2,Mixed,L,http://www.dailynewsbin.com/,
Daily Sound and Fury,US,left,left1,Mixed,L,https://dailysoundandfury.com,
Dallas Voice,US,left,left8,High,L,https://dallasvoice.com/,UCzLKquBnVnmwE8LBYSQTK3w
Democracy Chronicles,US,left,left6,High,L,https://democracychronicles.org,UCxcBAPpicKDkKtT5o6IQ9QA
DeathandTaxes,US,left,left8,High,L,http://www.deathandtaxesmag.com/,UCMjlfF6WlohRsUqXS86-h8g
DeadState,US,left,left6,High,L,https://deadstate.org/,
Deadspin,US,left,left8,High,L,https://deadspin.com/,UCFsh2bHIGqgRVZnZX8xhI0Q
Deep South Voice,US,left,left6,Mixed,L,https://deepsouthvoice.com/,UCA-qJxAjhq1G6aDsTHuPWug
Democracy Guardian,US,left,left2,MostlyFactual,L,https://democracyguardian.com,
Democracy Now,US,left,left8,High,L,https://www.democracynow.org/,UCzuqE7-t13O4NIDYJfakrhw
Detroit Metro Times,US,left,left7,High,L,https://www.metrotimes.com,UCkhDT0wgMF0Z3g4VaHeGr8w
DeSmog,US,left,left12,High,L,https://www.desmogblog.com/,UC27KdqL8GCxqXgurmGpkb7g
Democratic Underground,US,left,left3,Mixed,L,https://www.democraticunderground.com/,
Dissent Magazine,US,left,left5,High,L,https://www.dissentmagazine.org/,UCrcfm_R39ru3obmkQY9eGdg
Drudge Retort,US,left,left7,Mixed,L,http://www.drudge.com/,UC-3jIAlnQmbbVMV6gR7K8aQ
Earth First Journal,US,left,left4,Mixed,L,http://earthfirstjournal.org/,UCj-rZcEwT0HjATNq-kx_nsg
Electronic Intifada,US,left,left5,MostlyFactual,L,https://electronicintifada.net/,UC9jY5IcAA99wX8MZQ9K9r-Q
EgbertoWillies,US,left,left2,High,L,https://egbertowillies.com/,UCcgg5oVHV3ktWzbkbc52urQ
Ecowatch,US,left,left8,High,L,https://www.ecowatch.com,UCxNUGPwBSjDJzKHsfo21NXw
Elisabeth Parker,US,left,left4,High,L,http://elisabethparker.com/,UCtShq2-PWQwEFNs-obQrjTQ
Elite Daily,US,left,left12,Mixed,L,https://elitedaily.com/,UCuq5zqTO-fjggZMiXi2FzWg
ELLE Magazine,US,left,left8,MostlyFactual,L,www.elle.com,UCV8Do0nwSrYP7lwPBS4LWpw
Esquire Magazine,US,left,left6,MostlyFactual,L,https://www.esquire.com,UCLPVHOw25Eu8CCKTxL5TgCA
Feministing,US,left,left5,Mixed,L,http://feministing.com/,UCLsugInZe6elmRlM5AJ_O-g
ExtraNewsFeed,US,left,left5,MostlyFactual,L,https://extranewsfeed.com,
Evonomics,US,left,left7,,L,http://evonomics.com/,
Everyday Feminism,US,left,left9,High,L,http://everydayfeminism.com/,
The Fifth Column,US,left,left7,,L,https://thefifthcolumnnews.com/,UCYcr5ute99R-M86rfVyUUyQ
Filming Cops,US,left,left6,High,L,http://filmingcops.com/,UCsRIXg6tVFYVKek2UphIXjw
Fifth Estate,US,left,left8,High,L,https://www.fifthestate.org/,
Foreign Policy Journal,US,left,left4,Mixed,L,https://www.foreignpolicyjournal.com,UCUfu_TleffkvkK4t8MPpZWQ
Food and Water Watch,US,left,left4,Mixed,L,https://www.foodandwaterwatch.org,UCwLpzY6cUOEZAOwmIAez26A
Foreign Policy News,US,left,left7,Mixed,L,http://foreignpolicynews.org,UCef5LW_IXrGLIUiTQSCv6VA
Free Press,US,left,left3,High,L,http://freepress.org/,
Freedom From Religion Foundation (FFRF),US,left,left10,Mixed,L,https://ffrf.org/,UC28jWiP7HV6mBBW3C8AXuEg
Geopolitics Alert,US,left,left9,Mixed,L,https://geopoliticsalert.com/,
Free Rein News,US,left,left2,High,L,http://frnewsreport.com,
FStv (freespeech.org),US,left,left7,Mixed,L,https://www.freespeech.org/,UCv1RrKT8zaa5J1ueqCmMfsw
Front Page Live,US,left,left4,MostlyFactual,L,https://www.frontpagelive.com,UCLiVYX4--R2vM5KLGK2S2WA
Gizmodo,US,left,left10,High,L,https://gizmodo.com,UCxFmw3IUMDUC1Hh7qDjtjZQ
Good Magazine,US,left,left9,High,L,https://www.good.is/,UCeHHAF22PljrnnjskZeljmg
Global Voices,US,left,left12,High,L,https://globalvoices.org/,UCjQdjzWAwgJ-4BAtTjUXwWg
Grasping Reality With Both Hands: Bradford DeLong,US,left,left9,High,L,http://www.bradford-delong.com/,UCupRdJE0AjQUa3Ab-fo88NQ
Grit Post,US,left,left9,High,L,https://gritpost.com,
GQ Magazine,US,left,left11,High,L,https://www.gq.com,UCsEukrAd64fqA7FjwkmZ_Dw
Guardian Liberty Voice,US,left,left5,MostlyFactual,L,https://guardianlv.com/,
Guardians of Democracy,US,left,left1,Mixed,L,https://theguardiansofdemocracy.com/,UCOzT3fyPN7uTGUIha0YIl_g
Hill Reporter,US,left,left5,High,L,https://hillreporter.com,UCj01Tpnz4KfJh8DV1d2P1BQ
Human Rights Campaign (HRC),US,left,left6,High,L,https://www.hrc.org,UCHZeKyjqpK9diTD1g4yDl5g
Huffington Post (HuffPost),US,left,left8,Mixed,L,https://www.huffpost.com/,UCZfsrIV68Oegr5bJgAMLBDA
In These Times,US,left,left4,MostlyFactual,L,https://inthesetimes.com/,
Inequality Media,US,left,left12,High,L,https://www.inequalitymedia.org/,UCuDv5p8E-evaRSh542hDV5g
Informed Comment,US,left,left11,,L,https://www.juancole.com,
Institute for Policy Studies,US,left,left2,High,L,https://ips-dc.org/,UCpO2gT9O_4bjfA1DC56Krwg
Iowa Starting Line,US,left,left8,High,L,https://iowastartingline.com,
Intrepid Report,US,left,left6,Mixed,L,http://www.intrepidreport.com/,
It's Going Down,US,left,left2,Mixed,L,https://itsgoingdown.org/,UCNaOo35JRJrSPRujkBXdtCA
Jezebel,US,left,left3,High,L,https://jezebel.com/,UCI4iIRZltBUQITyvCXz_PZg
Lavender Magazine,US,left,left9,High,L,https://www.lavendermagazine.com/,
Jacobin,US,left,left4,High,L,https://www.jacobinmag.com/,UCzGUT9PjV3SMBwjWXUYh4HA
Latest.com,US,left,left1,Mixed,L,https://latest.com,
JoeBiden.com,US,left,left8,MostlyFactual,L,https://joebiden.com/,UCWNpXitY8eJ-ku6M-v25MKw
LA Weekly,US,left,left2,Mixed,L,https://www.laweekly.com/,UCXeGxrJnVIj7V6Xa9Ih4Jaw
Left Over Rights,US,left,left3,Mixed,L,http://leftoverrights.com/,
LeftScoop,US,left,left1,Mixed,L,https://www.leftscoop.com/,
LGBTQ Nation,US,left,left4,MostlyFactual,L,https://www.lgbtqnation.com/,UCRG85wzvd1a9RJhbhwkGKeA
Liberal America,US,left,left6,Mixed,L,http://liberalamerica.org/,UC5zPi7g6wk5Y8fiPBhtvL-w
Liberal Examiner,US,left,left1,Mixed,L,https://www.liberalexaminer.com/,
Mediaite,US,left,left7,Mixed,L,https://www.mediaite.com/,UCGJNv0jLqnkp9VbEXTbRd5w
Little Green Footballs,US,left,left8,High,L,http://littlegreenfootballs.com/,
Media Matters,US,left,left7,High,L,https://www.mediamatters.org,UC_70iWZ6ym2cglS_kv5YfmA
Mashable,US,left,left10,MostlyFactual,L,https://mashable.com,UCL8Nxsa1LB9DrMTHtt3IKiw
Liberation News,US,left,left8,High,L,https://www.liberationnews.org/,UCQObr5Jec8STSDpM9WV7WoQ
MeidasTouch,US,left,left2,Mixed,L,https://www.meidastouch.com/,UC9r9HYFxEQOBXSopFS61ZWg
Miami New Times,US,left,left7,High,L,http://www.miaminewtimes.com/,UCdLRfX-vkWx0YId_ocFQ0wg
Merry Jane,US,left,left10,High,L,https://www.merryjane.com/,UCSecgeLcJ6qXmE-tgOMYM1Q
Modern Liberals,US,left,left1,Mixed,L,http://modernliberals.com/,
Mondoweiss,US,left,left12,High,L,http://mondoweiss.net/,UC7oQL6bXDLVlfRzeF8_KcGw
Ms. (Magazine),US,left,left10,High,L,http://www.msmagazine.com/,UCBkwgMuUJ0HMkXan0eoOT5w
Moon of Alabama,US,left,left4,Mixed,L,https://www.moonofalabama.org/,
National Association for the Advancement of Colored People (NAACP),US,left,left9,High,L,https://www.naacp.org/,UCjIwnDSmohltS_z8YCuZUHg
MSNBC,US,left,left8,Mixed,L,https://www.msnbc.com/,UCaXkIU1QidjPwiAYu6GcHjg
Nation of Change,US,left,left5,MostlyFactual,L,https://www.nationofchange.org/,UCb0loaR9alFkLWjdMSTN9uw
Natural Resources Defense Council (NRDC),US,left,left10,MostlyFactual,L,https://www.nrdc.org/,UCNia_X3a7HLxBSN-z57UGQw
New York Magazine,US,left,left9,High,L,http://nymag.com/,UCJNMUA0J-hgaTmiNEYZf2Jw
New Republic,US,left,left6,High,L,https://newrepublic.com/,UCMou8jEaN0213UcOS2-yuFw
New Yorker,US,left,left7,High,L,https://www.newyorker.com/,UCsD-Qms-AkXDrsU962OicLw
New York Amsterdam News,US,left,left11,High,L,http://amsterdamnews.com,UClzkyoMAIXGAYh-mAuLoKAQ
New Politics Magazine,US,left,leftcenter01,Mixed,LC,https://newpol.org/,
News Corpse,US,left,left2,Mixed,L,https://www.newscorpse.com/,
NewsHounds,US,left,left4,Mixed,L,https://www.newshounds.us/,UCWOX8hUe00Qj-OV_GeyHdGA
Occupy.com,US,left,left6,High,L,https://www.occupy.com,UCKFyxRML4e78QPlFxOEYOIg
Newsweek,US,left,left7,Mixed,L,http://www.newsweek.com/,UC2a35q7eyzkfoIusBzdH4Hw
NewsOne,US,left,left7,MostlyFactual,L,https://newsone.com/,UCWlmdeVRfcRsdHXVZ1wQeeg
OpEdNews (OEN),US,left,left3,Mixed,L,https://www.opednews.com/,UCaqSSFjgwFInvYpwq-V-7sw
One Green Planet,US,left,left3,Mixed,L,http://www.onegreenplanet.org,UCld18HGYytSxZG4U5HUfelg
Paste Magazine,US,left,left8,High,L,https://www.pastemagazine.com/,UC_PscE_7n8SiMspieMGMK_A
Palmer Report,US,left,left3,Mixed,L,https://www.palmerreport.com,
People for the American Way (PFAW),US,left,left11,High,L,http://www.pfaw.org,UCOEqEhNpKnvLoiexhKo05kg
Peacock Panache,US,left,left3,Mixed,L,https://www.peacock-panache.com/,UCn7b6PCehgg4ZNh5NDcmy9g
Out Magazine,US,left,left8,,L,https://www.out.com,
PINAC,US,left,leftcenter02,High,LC,https://photographyisnotacrime.com/,UCr3FngGDAWJDWJX70j2fsmg
People Magazine,US,left,left12,High,L,https://people.com,UCGbQJy-531_5vfphay-rChQ
Politizoom,US,left,left3,Mixed,L,https://politizoom.com,UCSxCtu4groYcYi_2rk5-xdg
Political Tribune (DC Tribune),US,left,left1,Mixed,L,https://politicaltribune.org/,UC9PiUgIL-einC0BipagcxbQ
PoliticusUSA,US,left,left2,Mixed,L,https://www.politicususa.com,UCRDvr6eCqkvN8SoZLGc_PGQ
Political Dig,US,left,left2,Mixed,L,http://politicaldig.com/,
Popular Information,US,left,left7,High,L,https://popular.info,
Popular Resistance,US,left,left9,Mixed,L,https://popularresistance.org/,UCQXtGbmY2X1XnAwJCKyUdqg
Progressive Army,US,left,left8,High,L,http://progressivearmy.com,UCMCioqY4zblWt7Uw0E0VTGA
Progressive Change Campaign Committee,US,left,left2,Mixed,L,https://www.boldprogressives.org/,UC60zpnatoz3HZc84l7FswiA
Project Censored,US,left,left11,High,L,http://projectcensored.org/,UCJoF7fHbtskvHH-fJUBRddQ
Queerty,US,left,left10,High,L,https://www.queerty.com,UCLYgazsko-JyGriKjY3OLXQ
Rantt Media,US,left,left11,High,L,https://rantt.com,UCivQOc0wSLqXNNWwi9sAmbA
Reader Supported News (RSN),US,left,left8,Mixed,L,http://readersupportednews.org,UCxbvj3K-mrULh6WNpaIArLg
Real News Network,US,left,left10,High,L,https://therealnews.com/,UCrmm_7RDZJeQzq2-wvmjueg
Reading the Pictures,US,left,left10,High,L,http://www.readingthepictures.org,UCQtQBtdJBBvCCtK1AS_ZcDA
Raw Story,US,left,left5,Mixed,L,https://www.rawstory.com/,UCTGEL5jWD0eq-CnXXvH0Wow
Refinery29,US,left,left6,MostlyFactual,L,https://www.refinery29.com/en-us,UCsZsDjpf2Ppv_cT2K6_q2cw
Republicans Suck,US,left,left1,Mixed,L,http://republicanssucks.org,
Resilience (Post Carbon Institute),US,left,left3,Mixed,L,https://www.resilience.org,UC4aS7WdRm8_IkIBpDVJZNww
Republic Report,US,left,left8,High,L,https://www.republicreport.org,
Revcom.us,US,left,left2,Mixed,L,http://revcom.us/,UCBHaevn-06RSuh3k9LkA2BA
Rewire.news,US,left,left8,,L,https://rewirenewsgroup.com/,UC1AVtbGS9tJiTTHclBAsj3w
Right Wing Watch,US,left,left3,High,L,https://www.rightwingwatch.org/,UCMXqRHe8n1TX5iDvkLS62rw
Ring of Fire,US,left,left2,Mixed,L,https://trofire.com/,UCYWIEbibRcZav6xMLo9qWWw
Rolling Stone,US,left,left9,High,L,https://www.rollingstone.com/,UC-JblcinswY50lrUdSaRNEg
Seventeen,US,left,left7,High,L,https://www.seventeen.com/,UC0IXvMUUPeYNVGe88ieMDEg
Salon,US,left,left6,High,L,https://www.salon.com,UC-JSIhoXcKetaEeYOpvwcIQ
Scary Mommy,US,left,left12,High,L,http://www.scarymommy.com/,UCZhCc712aJSFGSRLzyakpLA
Shadow Proof,US,left,left4,High,L,https://shadowproof.com,UC_98en_oHyT3wDP8mn9DQaA
Shondaland,US,left,left11,MostlyFactual,L,https://www.shondaland.com/,
Shareblue,US,left,left1,Mixed,L,https://shareblue.com/,
Smirking Chimp,US,left,left8,High,L,http://www.smirkingchimp.com/,
Sludge,US,left,left11,High,L,https://readsludge.com/,
Slate,US,left,left8,High,L,https://slate.com,UCYC4ijpFZY_CtdElWFyy-Gg
Source Politics,US,left,left2,Mixed,L,https://www.sourcepolitics.com,UCJIEBuSQiuEGFqutGMFL1ZA
SocialistWorker.org,US,left,left3,High,L,https://socialistworker.org/,
Southern Poverty Law Center,US,left,left11,High,L,https://www.splcenter.org/,UCJqloayL-p1TP4Ed_fr53CA
SourceWatch,US,left,left5,MostlyFactual,L,https://www.sourcewatch.org/,
Splinter,US,left,left3,Mixed,L,https://splinternews.com,UC4cCsgbPuRZG6LvRmCPjXgg
St. Pete for Peace,US,left,left11,High,L,https://www.stpete4peace.org/,UCaZOlsm_rEmMLl7rcGprCPQ
Teen Vogue,US,left,left7,MostlyFactual,L,https://www.teenvogue.com,UCr7ZFxNlDvb3waeoTN1_3mA
Talking Points Memo,US,left,left8,MostlyFactual,L,https://talkingpointsmemo.com,UCTcCX_XY4l-W2ba5IxIRhsg
The Advocate,US,left,left8,High,L,https://www.advocate.com,UCyoWeR3FrNb8p2WIAqYmAUw
The American Prospect,US,left,left7,High,L,https://prospect.org,UCikiDl4n1lXE7SU45pW6dDQ
The American Independent Institute,US,left,left7,MostlyFactual,L,https://americanindependent.com/,
The Austin Chronicle,US,left,left10,High,L,https://www.austinchronicle.com,UCcU3fKN8_J51o7JUsiMY2Zw
The Blue Route,US,left,left4,MostlyFactual,L,http://theblueroute.org/,
The Burning Spear,US,left,left7,High,L,http://www.theburningspear.com/,UCLjzzg-cFWpEEjnWCOpXp3Q
The Climate Reality Project,US,left,left12,,L,https://www.climaterealityproject.org/,UCIJk74xZtFZut1rJVHVVXeA
Daily 49er,US,left,left11,High,L,http://www.daily49er.com/,UCas0pAfnq618PsfXv8BsoTQ
The Daily Buzz,US,left,left11,Mixed,L,https://the-daily.buzz/,
The Daily Banter,US,left,left2,Mixed,L,https://thedailybanter.com/,UC93xGduMXLQWsFCsO4GqMqg
The Democratic Hub,US,left,left2,,L,http://www.democratichub.com/,
The Dodo,US,left,left4,,L,https://www.thedodo.com,UCofXFskZSRZV7ehHPhOlfiA
The Dworkin Report,US,left,left2,,L,https://dworkinreport.com,
The Florida Squeeze,US,left,left9,,L,https://thefloridasqueeze.com/,UCib1PeP03FAEshagi3jXDWw
The Fucking News,US,left,left7,,L,thefingnews.com,UCdYLvEpG0t6f2Ilfp_QlMzA
The Frisky,US,left,left10,,L,http://www.thefrisky.com/,UCzH6tdgco2B2zWI09x7SiFA
TheImproper Magazine,US,left,left5,,L,https://www.theimproper.com,UCohwaE3TbuS59tZHNaV-19Q
The Ghion Journal,US,left,left2,,L,https://ghionjournal.com,UCyUq8w6oHwnYt13-DZjpgvw
The Indypendent,US,left,left7,,L,https://indypendent.org,
The Intellectualist,US,left,left6,Mixed,L,https://mavenroundtable.io/theintellectualist/,
The Lily,US,left,left12,,L,https://www.thelily.com/,
The Mary Sue,US,left,left9,,L,https://www.themarysue.com,UC9p4VHaB7JWTZgvVwMMWF3Q
The Militant,US,left,left11,,L,http://www.themilitant.com/,
The Nation,US,left,left8,High,L,https://www.thenation.com/,UCDGECor7yw2AkrgAcHkcJxQ
The National Memo,US,left,left8,,L,https://www.nationalmemo.com/,UCfzErH3zaum9yzKTEykjfXA
The Outline,US,left,left11,,L,https://theoutline.com/,UC5G2dqwrpKmiX_un9xP5bAg
The New Civil Rights Movement,US,left,left3,,L,https://www.thenewcivilrightsmovement.com/,
The Progressive Frontier,US,left,left1,,L,https://progressivefrontier.com,
The Reality Based Community,US,left,left9,,L,http://www.samefacts.com/,
The Palestine Chronicle,US,left,left7,,L,https://www.palestinechronicle.com,UC2J3olQxMEQLEmpzisRVzpg
The Progressive,US,left,left6,,L,https://progressive.org/,UCl65R0kPElDDdms008pnPxQ
The Root,US,left,left8,High,L,https://www.theroot.com/,UCg5bOg1qVoZ2JDJ7MmjY63A
The Stern Facts,US,left,left3,,L,https://thesternfacts.com/,
The Village Voice,US,left,left11,,L,http://www.villagevoice.com/,
The Texas Observer,US,left,left10,,L,https://www.texasobserver.org,UCHrrs54uHH84iPWIpFBMMGQ
The World Can't Wait,US,left,left6,,L,https://worldcantwait.net/,UCDCSEcGjvEUHskSVFNbqsQA
The Week (USA),US,left,left9,High,L,https://theweek.com/,
TheGrio,US,left,left5,MostlyFactual,L,https://thegrio.com/,UC8fThw1O4sPhLlgSrfgwAGA
Them.us,US,left,left7,,L,https://www.them.us/,UCZEL_lFVOcFVlmjhguk0IxQ
Think Progress,US,left,left4,,L,https://thinkprogress.org/,UCYdasX3ym3E5r1iozVllmzA
TreeHugger,US,left,left7,High,L,https://www.treehugger.com/,
Towleroad,US,left,left2,,L,http://www.towleroad.com/,UCK6b9S4vTfIyD37KO2hgLGg
Truth Against the Machine,US,left,left3,,L,https://truthagainstthemachine.com,UCUP0P3KlVb1RV-MBJqiyg1A
Truthdig,US,left,left7,High,L,https://www.truthdig.com/,UCJoETvJ0a2zVRFzj02MzmLw
Truth Out,US,left,left1,Mixed,L,https://truthout.org/,UCCZ4F8iGWpWh7eOi1v8wTTg
Uproxx,US,left,left11,,L,https://uproxx.com/,UCWGljB8djPusdaKtVx1UKfg
Upworthy,US,left,left8,,L,https://www.upworthy.com/,UCswDowOOvJ-fkCgH9YAITjQ
Verified Politics,US,left,left4,,L,http://verifiedpolitics.com,
Vermont Independent,US,left,left7,,L,https://vermontindependent.net,UCHXMiUoEfrGyktUzzu9MBWA
Vanity Fair,US,left,left7,MostlyFactual,L,https://www.vanityfair.com,UCIsbLox_y9dCIMLd8tdC6qg
Verrit,US,left,left8,,L,https://verrit.com,
Vox,US,left,left8,MostlyFactual,L,https://www.vox.com/,UCLXo7UDZvByw2ixzpQCufnA
Washington Daily Wire,US,left,left2,,L,http://www.washingtondailywire.com,
Washington Babylon,US,left,left7,High,L,https://washingtonbabylon.com/,UC7sd0kVJuDUZQckpO8eJiCw
Wall Street on Parade,US,left,leftcenter03,,LC,http://wallstreetonparade.com/,UCfrMaiQ4EbTZffWfOvJvWKg
Washington Sources,US,left,left3,,L,http://washingtonsources.org,
Washington Press,US,left,left1,,L,https://washingtonpress.com/,
Washingtonian,US,left,left7,,L,https://www.washingtonian.com,UC-e0GTIBgIjP7DplyeLsRig
We Hunted the Mammoth,US,left,left6,High,L,http://www.wehuntedthemammoth.com/,UCxhnmw9MYzVLsV4nymKUs6w
What Matters News,US,left,left4,,L,http://whatmattersnews.com/,
Who.What.Why,US,left,left9,,L,https://whowhatwhy.org/,UC-qbk0cdNP1-uU88-a_IAjA
Wonkette,US,left,left2,,L,https://www.wonkette.com,UCUlXFewpX6ZProHdsAfsknQ
Wear Your Voice,US,left,left8,,L,https://wearyourvoicemag.com,UCWUELcfXOqUhhlpRW5l5TcA
White House Watch,US,left,left1,,L,https://whitehousewatch.com,
Workers World,US,left,left3,,L,http://www.workers.org/,UCr7veYVN9t6UPoB1_icFG1g
Yes Magazine,US,left,left8,,L,https://www.yesmagazine.org,UCmB4FlAaollM3Jd8FoKCIXA
World Socialist Web Site,US,left,left3,MostlyFactual,L,https://www.wsws.org,UCwQKTzuzDIazT37whnR0lqQ
Your Black World,US,left,left8,,L,http://yourblackworld.net,UCQcPBLsq9rRc5TxDqSz_Dog
The Young Turks,US,left,left3,MostlyFactual,L,https://tyt.com,UC1yBKRuGpC1tSM73A0ZjYjQ
Z Magazine,US,left,left3,,L,https://zcomm.org/zmag/,
ABC News,US,leftcenter,leftcenter06,High,LC,https://abcnews.go.com,UCBi2mrWuNuyYy4gbM6fU18Q
Above the Law,US,leftcenter,leftcenter09,High,LC,https://abovethelaw.com/,
ABC11 Eyewitness News,US,leftcenter,leftcenter07,High,LC,https://abc11.com/,UCe7cIhm4_RWsThRzBCXtmOQ
American Civil Liberties Union (ACLU),US,leftcenter,leftcenter08,Mixed,LC,https://www.aclu.org/,UC7M42vQrNmZ0tnmmenLWwBA
Affinity Magazine,US,leftcenter,leftcenter03,Mixed,LC,http://affinitymagazine.us/,
Akron Beacon Journal,US,leftcenter,leftcenter09,High,LC,https://www.beaconjournal.com/,UClaIZayJYZunD66ib5e32og
Al Monitor,US,leftcenter,leftcenter07,High,LC,https://www.al-monitor.com/,UC9oLvlUBxIKkd2nNLyjmmew
Albany Times Union,US,leftcenter,leftcenter10,High,LC,https://www.timesunion.com/,UCxTc23Z8IWwIO7nxv6cJAtw
Al Sura,US,leftcenter,leftcenter07,Mixed,LC,https://al-sura.com,UCU-I1LTPY4J08e2nAorj4ww
Alan Guttmacher Institute,US,leftcenter,leftcenter06,High,LC,https://www.guttmacher.org/,UCDAHJpWEjTenoWD9_mc8n9g
AllGov,US,leftcenter,leftcenter04,High,LC,http://www.allgov.com,
Allied Progress,US,leftcenter,leftcenter02,High,LC,https://alliedprogress.org,UCtkf6gMHXuLd9tYtzfhVzSA
AM New York,US,leftcenter,leftcenter05,High,LC,https://www.amny.com/,UCIzxIaXiyw2TivJRiagHZ3Q
