rank,video_id,channel_id,topic,strategy,on_topic,potential_other_category,update_required,notes
5,Vx7_2-GwxgA,UCp2DvyVhOw7wkrMv7kRrtRg,antitheist,delete,FALSE,,,Evolution vs creation
5,tyVbs-wrstE,UCCfdmyHNJefqvHstB1to1Kg,antitheist,delete,FALSE,,,Islam/Christianity comparisons
3,P3w6LTkRCZQ,UCmYesELO6axBrCuSpf7S9DQ,antitheist,delete,FALSE,politics,,politics/economics/history
0,ob_oBKGTMTY,UCVxJvk4k4_JsUMsj_UMHssg,antitheist,delete,TRUE,,,"same anti-other-side slights/exposes as cheap political channels, but for religion"
2,Z8QbCuOSSz4,UCC_0vyFTKk1Nlodo4QsiQkw,antitheist,delete,FALSE,,,mental health
5,7B_i2Ek8fUg,UCE6PnoL9QDYnkiUvykmlLQQ,antitheist,delete,TRUE,,,"looks like gamer on the surface, but really an atheist"
8,9kakBfGxhpM,UCZ9jWH_8tJ-Nmaj8dSQdEYA,antitheist,delete,FALSE,,,"history of evolution, but not anti-religion"
5,iUVOot2PNpU,UCECTonmmBHXfKDlqpqbHLDA,antitheist,dislike,FALSE,,,church
3,MJ8PBoOjbbg,UCllFQfA-CWIlMtseFhXPv5g,antitheist,dislike,FALSE,,,music reactions
5,dgZD3gJdk2U,UCmz7R7v1xxvOTYKh2ZSFdFg,antitheist,dislike,FALSE,,,very much religious
6,3lU6wkYhEJI,UCG1QXvv8CME3I6yts0IevTA,antitheist,dislike,FALSE,,,comedy
8,XBVu4CjYZmo,UC4a9LfdavRlVMaSSWFdIciA,antitheist,dislike,FALSE,,,language teacher
5,ikC3KRutKy0,UCFE7eMFjFGuz_wF6cCiGYwQ,antitheist,dislike,FALSE,,,Christian
0,ygSWLZ38aEA,UCwM5jMqlj55s21PsB6MCpaA,antitheist,dislike-recommendation,FALSE,,,
1,n-c66SJPuUI,UCFE7eMFjFGuz_wF6cCiGYwQ,antitheist,dislike-recommendation,FALSE,,,
8,n-c66SJPuUI,UCJMAYpUtZ0tFbQDPzkIOxxw,antitheist,dislike-recommendation,FALSE,,,music
5,Vq8hQpLUmlM,UCkiAm7y8MQCbFwpB-52QRtg,antitheist,dislike-recommendation,FALSE,,,game solver
0,ob_oBKGTMTY,UCVxJvk4k4_JsUMsj_UMHssg,antitheist,dislike-recommendation,TRUE,,,
1,zjbbgPWwuxU,UCn2nus2ZD61u7phkC2cYkwg,antitheist,dislike-recommendation,FALSE,,,comedy
3,TFzOYMY_I0k,UCa2vku6mcfnYyyXdYEFheWw,antitheist,dislike-recommendation,FALSE,,,anime
5,5S1xBm-YW9E,UCarvZGPZhP2vaxtVawtr7qQ,antitheist,dislike-recommendation,FALSE,,,terminated
4,A2sS00egAzg,UCUFFHXvzAMRSD8Bq4bJppxQ,antitheist,dislike-recommendation,FALSE,,,self-help personal vlog
5,kAkkAkJ8HAU,UCOzIp5BtoLwWagFzy65jB-g,antitheist,dislike-recommendation,FALSE,,,cars
7,8XL1H6PRDow,UCJ2N80TC24y13W-zZDNDzJw,antitheist,dislike-recommendation,FALSE,,,not English
9,iZt48-dlGrU,UCdU6X8CuAnL-el696ibwNZA,antitheist,dislike-recommendation,FALSE,,,story narrating with political-signaling twists (E.g. Karens)
5,BbHJY7lPnPA,UCpGBEbbsWctGAP59wXKuj-g,antitheist,no-channel,FALSE,,,plus-size models
3,g7eK7ChKaz0,UCH2S--QQtDXO449FESw9dxg,antitheist,no-channel,FALSE,,,living in nature
5,C6jgyGpnEPw,UCZ6ZmIhAv5ZZThYapiTunCw,antitheist,no-channel,FALSE,,,music
2,g7eK7ChKaz0,UCH2S--QQtDXO449FESw9dxg,antitheist,no-channel,FALSE,,,
3,cYMQKH4Whag,UCMu-RvfTu9qqyHDGDtmX1GA,antitheist,no-channel,FALSE,,,horror game
9,MjxlvduyJyc,UCrtd2wePvAl6RN_D-9jWVQQ,antitheist,no-channel,FALSE,,,medical lectures
5,mkhf4K6s5DI,UCBnsdnhdPysrE0JCjQPn-QA,antitheist,no-channel,FALSE,,,gaming
1,KLODGhEyLvk,UCth1JdU_n065AJjWomYXmWg,antitheist,no-channel,FALSE,,,"""counterculture"" comedian George Carlin"
1,u_Ky2J5b9ZI,UCyxQ9c5XXqkxHI-Ym_exJbA,antitheist,none,TRUE,,,Chris Hitchens 
5,rJ8ioyxS3NY,UCV-q8rkVhtR6E4wv_DVM6Lg,antitheist,none,FALSE,,,drug trips
3,Vq8hQpLUmlM,UCkiAm7y8MQCbFwpB-52QRtg,antitheist,none,FALSE,,,
0,4TsvyJCZ9n8,UC-Ic_OskSN_kGoP_zf2JU7w,antitheist,none,FALSE,,,Bill Burr fan
3,KthnqHZ-kOc,UCO9DkMbRTAjQK6OnhMwLWrQ,antitheist,none,FALSE,,,pretty religious
5,gDIU4AdhEuM,UCCC90EcdVcPe9BF3PvR8JIA,antitheist,none,FALSE,,,tech
6,a4yK_GtGWss,UCBh8XcZST_JTHt-IZDxT_pQ,antitheist,none,FALSE,,,memes
9,xNewd0IF2gI,UC4rqhyiTs7XyuODcECvuiiQ,antitheist,none,FALSE,,, video games
7,W3Gvxpb-hQQ,UCYyNp5I1bpkxiM7aAPmH3Ug,antitheist,none,FALSE,politics,,anti-racist perspectives
1,u_Ky2J5b9ZI,UCyxQ9c5XXqkxHI-Ym_exJbA,antitheist,not-interested,TRUE,,,
4,TPR1P_D8zjY,UCkJEpR7JmS36tajD34Gp4VA,antitheist,not-interested,FALSE,,,psychology
5,7D4d19VvdkA,UCoRWQLcsvtQlqXSDhhsz4yQ,antitheist,not-interested,FALSE,,,not English
9,n-c66SJPuUI,UCJMAYpUtZ0tFbQDPzkIOxxw,antitheist,not-interested,FALSE,,,
3,dC7A9FHLreI,UCRRr_xrOm66qaigIbwFLvbQ,antitheist,not-interested,FALSE,,,PhD vlogger
7,PzshAqowsyI,UCzR-rom72PHN9Zg7RML9EbA,antitheist,not-interested,FALSE,,,PBS animal evolution news
9,3NFywQdeKSo,UCZayLPdQws3rk0AAtrHcg0g,antitheist,not-interested,FALSE,,,music
4,lLsH2NJD1Vo,UC9Qixc77KhCo88E5muxUjmA,antitheist,not-interested,FALSE,,,psychologist on narcisism
5,jQVfEDlcxTU,UCIjxXVx7XVWHDfTDkxxnFBA,antitheist,not-interested,FALSE,,,football
2,dgZD3gJdk2U,UCmz7R7v1xxvOTYKh2ZSFdFg,antitheist,not-interested,FALSE,,,
7,TZ1camSU6Jw,UC7SeFWZYFmsm1tqWxfuOTPQ,antitheist,not-interested,FALSE,,,European histories 
5,7V4ZbftOtQw,UC1X4UdGRwOqD7lsJnSDbIzA,antitheist,not-interested,FALSE,,,not English
6,K2G57Bvqrqw,UCEitZYFwLk7iMFr9gwDepxQ,antitheist,not-interested,FALSE,,,pop culture drama
1,P3w6LTkRCZQ,UCmYesELO6axBrCuSpf7S9DQ,antitheist,not-interested,FALSE,,,
0,ygSWLZ38aEA,UCwM5jMqlj55s21PsB6MCpaA,antitheist,watch,FALSE,,,
5,v35I98OXPxM,UCL9B0PBOy45hVPcEF8OFpwQ,antitheist,watch,FALSE,,,religious
0,4TsvyJCZ9n8,UC-Ic_OskSN_kGoP_zf2JU7w,antitheist,watch,FALSE,,,
5,3U_yu88ZGfM,UC-hn2Xo6TNYiVvzanW3CBXQ,antitheist,watch,FALSE,,,religious
8,TPDuYXGAuBw,UCuyJBqr0mCwCLb7JzaQKYIw,antitheist,watch,FALSE,,,personal vlog
5,_8vkjmTQCyM,UCfX55Sx5hEFjoC3cNs6mCUQ,antitheist,watch,FALSE,,,coding
3,AC57cLGa-CQ,UCr8xNHreYlR3gOjXnd82PBQ,politics-left,delete,FALSE,,,not English school
5,KLODGhEyLvk,UCth1JdU_n065AJjWomYXmWg,politics-left,delete,FALSE,,,
8,fmacgVAtxSk,UC5HJaVyYgo7WPCvIBchRBzQ,politics-left,delete,TRUE,,,Jon Stewart
9,5ZaRNZSfixU,UCa64yNcnPyPrlYusfo-xoDA,politics-left,delete,FALSE,,,music
2,bKaVI-IStNE,UC4a9LfdavRlVMaSSWFdIciA,politics-left,delete,FALSE,,,
5,7hk4TGuedxA,UC07F26kHKkpW_qqvXzEGALA,politics-left,delete,FALSE,,***,very liberal and anti-right but just parody videos
7,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,delete,TRUE,,,Amanpour and Company (bias left per AllSides)
4,dpI8zXswq2Q,UCldMg6p4GIbiECS-yeivO3g,politics-left,delete,FALSE,,,shed tools
3,V1JczpLLNh8,UCLXygBLK5K98WC84V0OGOmA,politics-left,dislike,FALSE,,,dogs
3,KnP1yiePSj8,UCZEyjHltMiko2se5TPkOsHA,politics-left,dislike,FALSE,,,music
4,sQuDWt9qmBs,UCJrI0Obj4UDT5ukjXOyNz2Q,politics-left,dislike,FALSE,,,not current events
3,s6aA0BdQ40A,UCACTeXxcYiVZ_HGzR9uELbw,politics-left,dislike,FALSE,,,anime
9,2Mdgdg8hwuM,UCP4nS6ag1-E6TzlQvaWfiZg,politics-left,dislike,FALSE,,,comics
3,0SNAplDk3NQ,UCrrvgwzIXwdWCOja7Izin3A,politics-left,dislike,FALSE,,,church
4,bKaVI-IStNE,UC4a9LfdavRlVMaSSWFdIciA,politics-left,dislike,FALSE,,,
7,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,dislike,TRUE,,,
0,O9taTaaHYUc,UCplwPnjH1AAB1He_7rMkHgQ,politics-left,dislike-recommendation,FALSE,,,histories of celebrities
3,tf77vdc3PQk,UCm8zUuDV6ijGzuhZqFV1W8A,politics-left,dislike-recommendation,FALSE,,,computer repair
8,Z2auT6u2f_s,UCc2yaftWSq_dPdMWuMOfjFw,politics-left,dislike-recommendation,FALSE,,,teeth grills
3,eeOy3NWukgk,UCDyAFv6Cbbah0IOo6aSulFA,politics-left,dislike-recommendation,FALSE,,,religious
6,6XC-9rtuegM,UCa6DBGeztqfXOwcpUnk0Ccg,politics-left,dislike-recommendation,FALSE,,,music
3,OE7cw4L4_bM,UCbv1QALIIhKnZ0TjGv6zOYQ,politics-left,dislike-recommendation,FALSE,,,anime
9,TtDoDpChZC0,UC8ZyfGD_qP-v75DGCzYQw6g,politics-left,dislike-recommendation,TRUE,,,Vice Asia
2,sfn3lnBolFo,UC1r9yJErJiT3hOp5gW_JKUw,politics-left,dislike-recommendation,FALSE,,,music
3,EFgM0sdpvCQ,UCA8a0rfbieUxaR_6UViemLA,politics-left,dislike-recommendation,FALSE,,,not English
4,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,dislike-recommendation,TRUE,,,
0,568sKcQAOys,UCqhgpmsWK9yAVrUcb_Jvdmw,politics-left,dislike-recommendation,TRUE,,,NAACP
3,fiiE1Bbw8lY,UC_ggXxTxS6HOF_MgixIpYog,politics-left,dislike-recommendation,FALSE,,,not English chess
7,gfdjMEdKqEQ,UCHExB-d5s0zBcbsaHEUy91Q,politics-left,dislike-recommendation,FALSE,,,relationships from female perspectives
8,7LAldn3bcag,UCJborosy42tsew5oaYZWV5A,politics-left,dislike-recommendation,FALSE,,,old stuff
2,k8-J5vxbpGI,UCo3nWXH_6vVJ5-xbF3bKb3Q,politics-left,no-channel,FALSE,,***,"Conan O'brien, not on allsides or MBFC"
3,vJZG-eJx7mk,UCJlYsz0wNkoaOhPKVnscKXQ,politics-left,no-channel,FALSE,,,music
4,Hs5yXgus0VQ,UC12lU5ymIvSpgl8KntDQUQA,politics-left,no-channel,FALSE,,,history
7,pAd23-0Dw3s,UCHd62-u_v4DvJ8TCFtpi4GA,politics-left,no-channel,TRUE,,,Washington Post
0,pk1kimBoaW0,UCHqC-yWZ1kri4YzwRSt6RGQ,politics-left,no-channel,FALSE,politics-right,,right-leaning
3,mDXSnqb9Ujk,UC8GH-BSMPM22FJI-qA87KQw,politics-left,no-channel,FALSE,,,bike mechanic
5,Hs5yXgus0VQ,UC12lU5ymIvSpgl8KntDQUQA,politics-left,no-channel,FALSE,,,
6,Y_b_NPxfCDc,UC-ITe1nKavRL6-Sl2aE3LKA,politics-left,no-channel,FALSE,,,music
2,P4Eqb2fRon8,UC6wBro4B4pf9xnBh9Xi2zcQ,politics-left,no-channel,FALSE,,,filmmaker
3,oBCO7-b6Txk,UC7U968BohWeOm183tDCphRQ,politics-left,no-channel,FALSE,,,bike mechanic
6,K6I81q5_i5E,UC-pE29OUR43BqqBxIeyo_GA,politics-left,no-channel,FALSE,,,cartoons
8,g3r4999Z4a8,UCsN32BtMd0IoByjJRNF12cw,politics-left,no-channel,FALSE,,***,"60 minutes, not on MBFC or allsides"
3,bH_y8afLBao,UCIg72PUPnRzjF5YzyvHoAJw,politics-left,no-channel,FALSE,,,not English
5,Nw8iKMDSu9w,UCVenB_yU7Y-5axI7DvUjiLQ,politics-left,no-channel,FALSE,,,languages
7,pk1kimBoaW0,UCHqC-yWZ1kri4YzwRSt6RGQ,politics-left,no-channel,FALSE,,,
9,0gVTrIBREGg,UC-OKkVxTcgGo34pWUC9CIIw,politics-left,no-channel,FALSE,politics-right,,right-leaning politics
2,XwdTfImWmnM,UCQCOmVByjOpoEO5xICwS_9Q,politics-left,no-channel,FALSE,,,gamer
5,_8wouUSO6P0,UCf0NWhZI8anaOHyHxGMrqdw,politics-left,no-channel,FALSE,,,gospel music
6,TtDoDpChZC0,UC8ZyfGD_qP-v75DGCzYQw6g,politics-left,no-channel,TRUE,,,
3,Ix7mDBcXkhY,UCVZjoJ7aAc_IDANjT7G10sQ,politics-left,none,FALSE,,,vlog
1,K6I81q5_i5E,UC-pE29OUR43BqqBxIeyo_GA,politics-left,none,FALSE,,,
7,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,none,TRUE,,,
4,RPCKzgITCRI,UCkS_HP3m9NXOgswVAKbMeJQ,politics-left,none,FALSE,,,history
6,-WvK6yYB1hM,UCdFmEprP16AQ2CQ6Y9OivDw,politics-left,none,FALSE,,,celebrity moments
5,_O4O8Aqe8Vo,UCks44GpUzfI4OWVeVgHejVg,politics-left,none,FALSE,,,old celebrities
0,H9xsxMSt5tQ,UC-yfUNgaRPRc50SFpr6Bp-A,politics-left,not-interested,FALSE,,,Johnny Dang famous fjewelry guy
3,uUXWK1GQgnY,UCXyJVxSt3apCQCdzo48yn9g,politics-left,not-interested,FALSE,,,music
5,k8-J5vxbpGI,UCo3nWXH_6vVJ5-xbF3bKb3Q,politics-left,not-interested,FALSE,,,
1,iljKC9mwrzg,UCO24uYfXkWFWF9a8xOzlmRw,politics-left,not-interested,FALSE,,***,culture/drag
3,htdKPUsCpo4,UCJrWgtbQdWgfmxKbBg2cXbA,politics-left,not-interested,FALSE,,,gamer
4,WHwBdXMzq_o,UC8sAnv4-VVljzmLlQ-Omjfw,politics-left,not-interested,FALSE,,,all about communications
5,zW8y7GXamm4,UCBS9Fn8-aFK6ezfvQitokOQ,politics-left,not-interested,FALSE,,,artists of color
1,IxlRL1tXYLI,UCABZ7Z6SBTp4IsARDceOq7w,politics-left,not-interested,FALSE,,,drama behind comedians
0,sE6QreND4mg,UC3cC3fqGreVygtVtfGIRDGg,politics-left,not-interested,FALSE,,,viral content
1,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,not-interested,TRUE,,,
2,EFgM0sdpvCQ,UCA8a0rfbieUxaR_6UViemLA,politics-left,not-interested,FALSE,,,
3,ekg6Dqaeqpg,UC7IApzkaY4k4BMvgyJGK0Bw,politics-left,not-interested,FALSE,,,silent films
4,Hs5yXgus0VQ,UC12lU5ymIvSpgl8KntDQUQA,politics-left,not-interested,FALSE,,,
8,Fh6olM8DtZ4,UCobopnNugl2Le_2N3byouHg,politics-left,not-interested,FALSE,,,cats
3,Ix7mDBcXkhY,UCVZjoJ7aAc_IDANjT7G10sQ,politics-left,watch,FALSE,,,vlogs
5,IMUnulgZag8,UC1s9576cQFdQq3QTtTxocmA,politics-left,watch,FALSE,,,real crime
6,ZhZdvU9Pn_I,UCa64yNcnPyPrlYusfo-xoDA,politics-left,watch,FALSE,,,
3,gXKKLEcXjzk,UCh2j2kfiUg02cne8jW9MfFQ,politics-left,watch,FALSE,,,family vlogs
0,sE6QreND4mg,UC3cC3fqGreVygtVtfGIRDGg,politics-left,watch,FALSE,,,
5,fd04p2Xcg7M,UCqqjiYoD0nP1fR6vf5AcSfQ,politics-left,watch,TRUE,,,
8,ekg6Dqaeqpg,UC7IApzkaY4k4BMvgyJGK0Bw,politics-left,watch,FALSE,,,
3,KaKkNI_rlzw,UCmZ9v4r65pF6jg_lrswDRjQ,politics-left,watch,FALSE,,,birds
9,NFipLBA-zhw,UCYuXyzwA_w4-c1FJrqOnR0A,politics-left,watch,FALSE,,,crime
3,FYEBDrDgonI,UCqdKijTcFmMwTuL97jgcq7w,politics-right,delete,FALSE,,,not English
9,sxqTmRd-xrs,UCED8pMWG-9Uno7xesInuGuQ,politics-right,delete,FALSE,,,vlog
2,0872L1eH-_0,UCpj2injjjMyfZ06Egfotvew,politics-right,delete,FALSE,,,tools
2,W28IRemW2II,UCEVSRqPW008JbOfF1qFHP6w,politics-right,delete,FALSE,,,not English (looks religious but not US though)
4,_F8yx4PyQjQ,UCdKWfPLO_Emwqd8HnTOeJkw,politics-right,delete,TRUE,,,right-wing takes on US and international news
7,DsQdn3w5HTY,UCOEvClYLRZcT5bNCCI5eMKg,politics-right,delete,FALSE,politics-left,,MBFC left-center
8,Dbq_mWl1fRU,UCYUbNjkuE4lsr2v1Id2O1oA,politics-right,delete,FALSE,politics-left,,ABC news Bay area (def not right cuz its in bay area and ABC but could be left)
5,0ktNhvkmB00,UC3w193M5tYPJqF0Hi-7U-2g,politics-right,delete,FALSE,,,
6,dp8PhLsUcFE,UCUMZ7gohGI9HcU9VNsr2FJQ,politics-right,delete,FALSE,politics-left,,Bloomberg quicktake
