RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
113042.952965446,Partisan Right,Social Justice,Mainstream Media,YouTube,R,L
69647.024901031,Partisan Left,Libertarian,Mainstream Media,YouTube,L,R
41356.484028024,Unclassified,Social Justice,YouTube,Missing Link Media,C,L
110.379315932,Black,Libertarian,YouTube,YouTube,C,C
19911.778169852,Unclassified,Unclassified,YouTube,YouTube,C,L
69102.090520395,Unclassified,Social Justice,YouTube,YouTube,C,L
5355205.97337499,Partisan Left,,YouTube,,L,
3319.762720788,Partisan Left,Libertarian,YouTube,YouTube,L,C
54957.35874679,Conspiracy,Anti-SJW,YouTube,YouTube,C,R
10168.129357773,Partisan Left,Black,Mainstream Media,YouTube,L,L
32.63344952,Center/Left MSM,White Identitarian,Mainstream Media,YouTube,L,R
74.749536417,Anti-theist,White Identitarian,YouTube,YouTube,C,R
2.793526258,Religious Conservative,Black,YouTube,YouTube,C,C
197.114225292,Conspiracy,Conspiracy,YouTube,YouTube,L,R
35658.532054082,Partisan Left,Unclassified,Mainstream Media,Mainstream Media,L,L
6989.887454665,Social Justice,Conspiracy,YouTube,YouTube,L,C
11302.810737466,Unclassified,Anti-SJW,YouTube,YouTube,L,C
18923.693637121,Religious Conservative,Social Justice,Missing Link Media,Missing Link Media,R,L
27982.546491919,Conspiracy,Social Justice,YouTube,Mainstream Media,C,L
19253.905369172,Social Justice,Unclassified,Missing Link Media,YouTube,L,R
13465.779718412,Social Justice,Unclassified,YouTube,Mainstream Media,L,R
13760.244053607,Anti-theist,Partisan Right,YouTube,Mainstream Media,C,R
0.1759280447,Anti-SJW,Anti-theist,YouTube,YouTube,C,R
2468.694233484,Black,Unclassified,YouTube,YouTube,L,R
490.531993655,Partisan Right,MRA,Missing Link Media,YouTube,R,R
78.277163882,Libertarian,Partisan Right,YouTube,YouTube,R,C
12168.335509855,Conspiracy,Religious Conservative,YouTube,YouTube,R,C
8102.150015259,Anti-SJW,Socialist,Missing Link Media,YouTube,R,L
31538.45335763,Anti-SJW,Social Justice,Missing Link Media,Mainstream Media,R,L
28.947899541,Socialist,LGBT,YouTube,YouTube,L,C
0.01271722333,Unclassified,LGBT,YouTube,YouTube,R,C
1640722.53615906,Libertarian,Libertarian,YouTube,YouTube,R,R
0,,LGBT,,YouTube,,L
4199.763107471,Conspiracy,Black,YouTube,YouTube,C,C
36522.378769758,White Identitarian,Anti-SJW,YouTube,YouTube,R,C
9998.279919398,Anti-SJW,Anti-SJW,YouTube,YouTube,R,L
107483.066801613,Black,Partisan Right,YouTube,Mainstream Media,C,R
27209.885210362,Partisan Right,QAnon,YouTube,YouTube,R,R
6358.678540367,Partisan Right,QAnon,Mainstream Media,YouTube,R,R
978538.731327062,Black,Black,YouTube,YouTube,C,C
48082.987414751,Unclassified,Anti-SJW,YouTube,YouTube,R,C
11853.636326906,Unclassified,Anti-SJW,Mainstream Media,YouTube,R,R
188550.578840951,Anti-SJW,Unclassified,YouTube,YouTube,R,R
1574.23988027,Religious Conservative,Unclassified,YouTube,YouTube,C,C
832.053342168,Partisan Right,QAnon,Missing Link Media,YouTube,R,R
363181.205452458,Partisan Right,Anti-SJW,YouTube,YouTube,R,C
18467.242113503,Libertarian,Socialist,YouTube,YouTube,R,L
6697.977684142,Partisan Left,Partisan Right,YouTube,Missing Link Media,L,R
2677.227508075,Socialist,MRA,YouTube,YouTube,L,C
28687.77064726,QAnon,Conspiracy,YouTube,YouTube,R,C
3854.874717851,Religious Conservative,Conspiracy,YouTube,YouTube,R,C
2219.950584245,Conspiracy,Anti-theist,YouTube,YouTube,R,L
57.497666927,Unclassified,Black,Mainstream Media,YouTube,R,C
14635.567471248,Center/Left MSM,Religious Conservative,Mainstream Media,Missing Link Media,C,R
20502.446901291,Anti-SJW,Anti-SJW,YouTube,YouTube,L,C
7971.29530925,Black,Social Justice,YouTube,Missing Link Media,L,L
35379.30860643,Socialist,Social Justice,YouTube,Missing Link Media,L,L
524985.424296412,Social Justice,Center/Left MSM,Missing Link Media,Mainstream Media,L,L
4368.892775527,Anti-theist,Religious Conservative,YouTube,YouTube,L,R
3118.602759162,Conspiracy,Anti-theist,YouTube,YouTube,R,C
679.246724172,Libertarian,MRA,YouTube,YouTube,R,C
2862.255116053,Anti-theist,Center/Left MSM,YouTube,Mainstream Media,L,L
190.513584152,Conspiracy,MRA,YouTube,YouTube,R,C
91458.074513553,Center/Left MSM,Social Justice,Missing Link Media,YouTube,C,L
50.948014191,Social Justice,Center/Left MSM,Mainstream Media,Missing Link Media,L,L
16852.884457526,Conspiracy,Unclassified,YouTube,YouTube,R,L
16833.065822487,Conspiracy,Libertarian,YouTube,YouTube,C,R
116.24810187,Anti-theist,Partisan Right,YouTube,Missing Link Media,C,R
928.867493712,Partisan Right,Unclassified,Missing Link Media,YouTube,R,L
2619.902265125,MRA,MRA,YouTube,YouTube,R,C
5539.156277541,Anti-theist,Socialist,YouTube,YouTube,C,L
161.783560347,Black,Conspiracy,YouTube,YouTube,R,R
481062.470101793,Religious Conservative,Partisan Right,YouTube,Mainstream Media,R,R
2621891.1117444,Conspiracy,,YouTube,,C,
69.448508848,White Identitarian,Black,YouTube,YouTube,R,C
4170.492747529,Libertarian,Partisan Right,YouTube,YouTube,C,R
2063.680859361,Social Justice,Partisan Left,YouTube,YouTube,L,C
2599.966084489,Social Justice,Partisan Right,Mainstream Media,Missing Link Media,L,R
4010.788077071,Socialist,LGBT,YouTube,YouTube,L,L
12775.453913843,Unclassified,Social Justice,Mainstream Media,YouTube,R,L
647391.81935416,Socialist,Partisan Left,YouTube,Mainstream Media,L,L
109.506953023,Unclassified,MRA,Mainstream Media,YouTube,R,R
1351.005108915,Unclassified,MRA,YouTube,YouTube,R,R
5560788.89057727,Anti-SJW,,YouTube,,C,
3285.791398712,Social Justice,Religious Conservative,Missing Link Media,YouTube,L,R
332.489096881,Social Justice,Center/Left MSM,YouTube,Mainstream Media,C,L
357804.026878961,Conspiracy,Center/Left MSM,YouTube,Mainstream Media,R,L
1962.556657459,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,C,C
12596.984711979,Conspiracy,Socialist,YouTube,YouTube,C,L
4.78683464,Partisan Left,White Identitarian,YouTube,YouTube,C,R
664.87347998,Unclassified,Black,YouTube,YouTube,L,L
558.595510379,Libertarian,Black,YouTube,YouTube,R,L
223.753454276,Anti-theist,Conspiracy,YouTube,YouTube,L,C
18.078476303,Black,Partisan Right,YouTube,YouTube,R,R
15814.495658173,Unclassified,Center/Left MSM,YouTube,Missing Link Media,C,C
1040.511794971,MRA,Anti-theist,YouTube,YouTube,R,L
241.482732959,Anti-theist,MRA,YouTube,YouTube,C,R
124.644698489,White Identitarian,QAnon,YouTube,YouTube,R,R
3064.145438353,Unclassified,Partisan Left,YouTube,YouTube,C,C
13.159499699,Black,Partisan Left,YouTube,YouTube,C,C
1876.076588198,Religious Conservative,Anti-SJW,YouTube,Missing Link Media,R,R
2920.644553698,Partisan Left,Partisan Left,YouTube,Mainstream Media,C,L
3596.452261374,MRA,Center/Left MSM,YouTube,Mainstream Media,C,C
9.958448209,Unclassified,Unclassified,Mainstream Media,YouTube,L,L
8342.802079832,Anti-SJW,Unclassified,YouTube,Mainstream Media,C,R
172.625445605,Conspiracy,Socialist,YouTube,YouTube,L,L
763.589542517,Conspiracy,Partisan Right,YouTube,Mainstream Media,R,C
12.211774225,Unclassified,Anti-SJW,YouTube,Missing Link Media,R,R
20192.539877875,Center/Left MSM,Social Justice,Missing Link Media,Mainstream Media,C,L
589.367071427,Partisan Right,Partisan Left,YouTube,Mainstream Media,C,L
306.200401426,QAnon,Black,YouTube,YouTube,R,L
1020.756404126,Conspiracy,Partisan Left,YouTube,YouTube,R,C
6371.634478436,Unclassified,Unclassified,YouTube,Mainstream Media,R,R
878.222379392,Socialist,Social Justice,YouTube,YouTube,L,C
285.899299071,Unclassified,Religious Conservative,YouTube,Missing Link Media,L,R
70.432358437,Partisan Right,Anti-theist,Missing Link Media,YouTube,R,L
203.608884565,Conspiracy,Black,YouTube,YouTube,R,R
26010.392526957,Unclassified,Partisan Left,YouTube,YouTube,L,L
20296.816784835,Center/Left MSM,Socialist,Mainstream Media,YouTube,L,L
48144.670928726,Conspiracy,Social Justice,YouTube,Missing Link Media,R,L
894.345489503,Center/Left MSM,MRA,Mainstream Media,YouTube,L,R
126978.516691457,Anti-SJW,Partisan Right,YouTube,Missing Link Media,R,R
2617.383935496,Libertarian,Partisan Left,YouTube,YouTube,C,L
423699.255974838,Anti-SJW,Social Justice,YouTube,Mainstream Media,R,L
100.497101584,Partisan Left,Partisan Right,Mainstream Media,YouTube,L,C
0.3168059051,Unclassified,Black,YouTube,YouTube,R,R
165347.533465785,Partisan Right,Center/Left MSM,Missing Link Media,Mainstream Media,R,C
696095.271309118,Libertarian,Partisan Right,YouTube,Mainstream Media,R,R
1.122857174,Anti-SJW,QAnon,YouTube,YouTube,C,C
280.065778979,Social Justice,Social Justice,YouTube,YouTube,L,C
183470.483611589,Socialist,Partisan Right,YouTube,Mainstream Media,L,R
13260.486320801,Black,Religious Conservative,YouTube,YouTube,C,R
19218.99722626,Center/Left MSM,Partisan Left,Missing Link Media,Mainstream Media,C,L
30752.591082298,Social Justice,Socialist,Missing Link Media,YouTube,L,L
4.282108426,Black,Black,YouTube,YouTube,R,C
937.644045671,Unclassified,Religious Conservative,YouTube,YouTube,L,R
0.1286907469,Anti-SJW,Anti-theist,YouTube,YouTube,R,R
0.9453918114,Partisan Left,Partisan Right,YouTube,Missing Link Media,C,R
877.420549432,QAnon,Libertarian,YouTube,YouTube,R,C
20.162855365,Black,White Identitarian,YouTube,YouTube,C,R
129.210723981,Partisan Right,Partisan Right,Mainstream Media,YouTube,C,R
1157.20337758,Partisan Left,Socialist,YouTube,YouTube,C,L
46.199590361,Partisan Left,Social Justice,Mainstream Media,YouTube,C,L
455.5663992,Center/Left MSM,Unclassified,Missing Link Media,YouTube,L,C
379.990474912,Unclassified,,Mainstream Media,,L,
13388.512348244,Black,Unclassified,YouTube,YouTube,C,L
185.234073341,Black,Anti-theist,YouTube,YouTube,L,C
14.271082015,Socialist,Social Justice,YouTube,YouTube,C,C
38786.591441911,Religious Conservative,Social Justice,Missing Link Media,Mainstream Media,R,L
19.580057208,Anti-theist,Anti-SJW,YouTube,Missing Link Media,L,R
52833.097470526,Religious Conservative,Libertarian,Missing Link Media,YouTube,R,R
6.125393859,Partisan Right,Religious Conservative,YouTube,YouTube,C,R
87.20328832,Anti-SJW,MRA,YouTube,YouTube,L,R
13187.235152888,QAnon,Socialist,YouTube,YouTube,R,L
466.722477879,Conspiracy,Unclassified,YouTube,YouTube,L,C
1.166494231,Partisan Right,LGBT,Mainstream Media,YouTube,R,L
218.086083308,Center/Left MSM,Partisan Left,Mainstream Media,Mainstream Media,L,C
0,Unclassified,Anti-theist,YouTube,YouTube,L,R
285.521072137,Conspiracy,Libertarian,YouTube,YouTube,L,R
5735.52792685,Socialist,Unclassified,YouTube,Mainstream Media,L,R
56.831237438,Conspiracy,QAnon,YouTube,YouTube,R,C
10.037985703,Center/Left MSM,Anti-theist,Missing Link Media,YouTube,C,L
119.741202101,Partisan Right,Anti-SJW,YouTube,YouTube,C,R
65219.057977674,Religious Conservative,Unclassified,Missing Link Media,YouTube,R,C
150.096305935,Conspiracy,Religious Conservative,YouTube,YouTube,L,R
0.3446470223,Center/Left MSM,Partisan Right,Missing Link Media,Missing Link Media,C,R
396.358125189,Conspiracy,Anti-theist,YouTube,YouTube,C,L
272.219642744,Conspiracy,LGBT,YouTube,YouTube,R,L
1738.50128914,MRA,Libertarian,YouTube,YouTube,C,R
55.16254477,QAnon,MRA,YouTube,YouTube,R,C
1.135085658,Black,Partisan Right,YouTube,Mainstream Media,L,C
41.473723536,Social Justice,Partisan Right,Missing Link Media,YouTube,L,C
223.680787782,LGBT,Social Justice,YouTube,Missing Link Media,L,L
0.1263163275,Social Justice,Conspiracy,Missing Link Media,YouTube,L,L
0.1616969386,Religious Conservative,Partisan Right,YouTube,Mainstream Media,R,C
251.118628293,Black,Anti-theist,YouTube,YouTube,C,L
0,Center/Left MSM,Anti-theist,Missing Link Media,YouTube,C,R
1704.620846774,Libertarian,Center/Left MSM,YouTube,Missing Link Media,R,C
71.415946507,Anti-theist,MRA,YouTube,YouTube,L,R
11296.865640994,White Identitarian,Partisan Left,YouTube,YouTube,R,L
1433.19005895,Black,Anti-theist,YouTube,YouTube,C,C
8627.906732608,Partisan Right,Social Justice,Missing Link Media,YouTube,R,L
467.210045252,MRA,Social Justice,YouTube,Mainstream Media,C,L
0.1279532068,Unclassified,Anti-SJW,Mainstream Media,YouTube,L,R
248.482142222,Partisan Right,LGBT,YouTube,YouTube,R,L
9.398742178,LGBT,Conspiracy,YouTube,YouTube,L,C
270.703088727,Partisan Left,Unclassified,Mainstream Media,YouTube,C,C
1.125010695,Libertarian,Center/Left MSM,YouTube,Missing Link Media,C,L
196.970062121,Unclassified,Religious Conservative,YouTube,YouTube,R,C
3517.04422128,Partisan Right,Unclassified,YouTube,Mainstream Media,R,L
23.49019343,Unclassified,Religious Conservative,YouTube,YouTube,L,C
151.069138702,Partisan Right,Partisan Left,YouTube,YouTube,C,L
19.919473893,Anti-theist,Black,YouTube,YouTube,C,L
33.211673055,Conspiracy,Unclassified,YouTube,Mainstream Media,R,L
2.572403426,Partisan Right,Anti-SJW,Mainstream Media,YouTube,C,C
533781.802048706,Anti-SJW,Partisan Right,Missing Link Media,Mainstream Media,R,R
197.889038065,Anti-SJW,Black,Missing Link Media,YouTube,R,L
4.412531904,Libertarian,Religious Conservative,YouTube,YouTube,C,C
14.094672368,Religious Conservative,Social Justice,YouTube,Missing Link Media,C,L
66.568454039,Anti-SJW,Socialist,YouTube,YouTube,C,C
1543.6101135,Anti-SJW,Religious Conservative,Missing Link Media,YouTube,R,C
16.331570804,Anti-SJW,LGBT,YouTube,YouTube,R,C
0,Center/Left MSM,MRA,Missing Link Media,YouTube,C,C
0,Center/Left MSM,Conspiracy,Missing Link Media,YouTube,C,L
111.172432009,Unclassified,Partisan Right,YouTube,YouTube,R,C
3.509322221,Religious Conservative,Conspiracy,Missing Link Media,YouTube,R,L
190.05872751,Partisan Left,Partisan Left,YouTube,Mainstream Media,L,C
11.99059151,Partisan Left,Unclassified,Mainstream Media,YouTube,C,L
57.537156027,QAnon,Anti-SJW,YouTube,YouTube,R,L
27.782542655,Socialist,Center/Left MSM,YouTube,Mainstream Media,C,C
598.346743256,QAnon,Religious Conservative,YouTube,YouTube,C,R
546.990383108,QAnon,Socialist,YouTube,YouTube,C,L
2698.926642792,Anti-SJW,Center/Left MSM,Missing Link Media,Missing Link Media,R,C
4.400516478,Anti-theist,Social Justice,YouTube,Missing Link Media,R,L
0.06529224731,Unclassified,Partisan Right,Mainstream Media,Mainstream Media,L,R
10.178635278,Black,Religious Conservative,YouTube,YouTube,L,C
26.355066039,Partisan Left,Socialist,Mainstream Media,YouTube,C,L
681.680587754,QAnon,Social Justice,YouTube,Mainstream Media,C,L
51.935438409,Anti-SJW,Partisan Left,Missing Link Media,YouTube,R,C
17.544047931,Partisan Left,Partisan Left,Mainstream Media,YouTube,C,L
275.648143474,Partisan Right,Partisan Left,Missing Link Media,YouTube,R,C
19.465872917,Socialist,Center/Left MSM,YouTube,Missing Link Media,L,L
6.528932876,LGBT,Black,YouTube,YouTube,L,L
4.258957434,QAnon,Center/Left MSM,YouTube,Missing Link Media,R,L
2.776154808,Socialist,Center/Left MSM,YouTube,Mainstream Media,C,L
128.392335223,Anti-SJW,Partisan Right,YouTube,Mainstream Media,C,C
0,Social Justice,Anti-SJW,YouTube,Missing Link Media,C,R
41.905412295,Center/Left MSM,Libertarian,Missing Link Media,YouTube,L,R
0.5945151861,Unclassified,QAnon,YouTube,YouTube,R,C
5.584364309,Anti-theist,Anti-theist,YouTube,YouTube,R,C
1.93269799,LGBT,QAnon,YouTube,YouTube,L,R
11.978731166,Anti-theist,Partisan Left,YouTube,YouTube,L,C
1.031394715,Religious Conservative,LGBT,YouTube,YouTube,C,C
0,Center/Left MSM,Anti-SJW,Missing Link Media,Missing Link Media,L,R
1.094933109,Religious Conservative,Partisan Left,YouTube,Mainstream Media,R,C
1.771122365,LGBT,Anti-theist,YouTube,YouTube,C,L
0.4076842779,Socialist,Conspiracy,YouTube,YouTube,C,C
225.696353266,QAnon,Partisan Right,YouTube,Missing Link Media,C,R
31.789072337,Partisan Right,Unclassified,YouTube,Mainstream Media,C,R
0.6460337407,Social Justice,Partisan Right,YouTube,Missing Link Media,C,R
19.424126887,LGBT,Unclassified,YouTube,Mainstream Media,L,R
27.470732189,Partisan Right,Religious Conservative,YouTube,Missing Link Media,C,R
2.295843672,Center/Left MSM,Center/Left MSM,Missing Link Media,Missing Link Media,C,L
50.385196854,Libertarian,Anti-SJW,YouTube,Missing Link Media,C,R
3.486211311,Unclassified,Center/Left MSM,Mainstream Media,Missing Link Media,R,L
0.09740509491,Partisan Left,Black,Mainstream Media,YouTube,C,C
0.08312655087,Partisan Right,Social Justice,Missing Link Media,YouTube,R,C
1.021290454,Partisan Right,Unclassified,Mainstream Media,YouTube,C,L
0,Black,Anti-theist,YouTube,YouTube,C,R
76.539248798,Anti-theist,Unclassified,YouTube,Mainstream Media,C,L
0.1637717122,Center/Left MSM,Anti-SJW,Missing Link Media,Missing Link Media,C,R
0,Black,MRA,YouTube,YouTube,R,C
0.1945892184,Black,Anti-theist,YouTube,YouTube,R,C
0.09737288896,Anti-theist,White Identitarian,YouTube,YouTube,R,R
0.3348169479,Partisan Right,Conspiracy,Missing Link Media,YouTube,R,L
0,Center/Left MSM,Religious Conservative,Missing Link Media,Missing Link Media,L,R
26.652732665,Religious Conservative,Unclassified,YouTube,Mainstream Media,C,R
5.095391563,Conspiracy,Religious Conservative,YouTube,YouTube,L,C
0,Partisan Left,Anti-theist,YouTube,YouTube,L,R
5.436760037,MRA,Social Justice,YouTube,YouTube,C,C
3.91342959,Partisan Right,Partisan Right,YouTube,Missing Link Media,C,R
20.466789196,MRA,Partisan Right,YouTube,YouTube,R,C
4.239118628,Social Justice,Partisan Left,YouTube,YouTube,C,C
1.817858744,Partisan Right,Center/Left MSM,YouTube,Missing Link Media,C,C
0,Socialist,Partisan Right,YouTube,Missing Link Media,C,R
0.003535980149,Partisan Left,Partisan Left,Mainstream Media,YouTube,C,C
0.9886925155,Anti-theist,Center/Left MSM,YouTube,Missing Link Media,R,C
0,Partisan Left,Anti-theist,Mainstream Media,YouTube,C,L
0.002918586228,Partisan Right,Center/Left MSM,Mainstream Media,Missing Link Media,C,L
0.01304694169,Anti-theist,Black,YouTube,YouTube,L,R
0.9054344504,Socialist,Center/Left MSM,YouTube,Missing Link Media,C,C
0.2518630571,Socialist,Religious Conservative,YouTube,Missing Link Media,C,R
0,Anti-SJW,Anti-theist,YouTube,YouTube,L,R
0,Unclassified,Black,Mainstream Media,YouTube,L,L
3.556818151,Partisan Right,Partisan Left,Missing Link Media,Mainstream Media,R,C
1.06348757,MRA,Libertarian,YouTube,YouTube,C,C
0,Unclassified,Anti-SJW,Mainstream Media,Missing Link Media,L,R
0,Unclassified,Libertarian,Mainstream Media,YouTube,L,C
0.07133995037,Partisan Right,Unclassified,Missing Link Media,Mainstream Media,R,L
0.01364775186,Socialist,Anti-SJW,YouTube,YouTube,C,L
0.7031188586,Black,Religious Conservative,YouTube,YouTube,R,C
0,Socialist,Partisan Left,YouTube,YouTube,C,C
0,Black,LGBT,YouTube,YouTube,L,C
0.2521709181,Partisan Left,Socialist,YouTube,YouTube,C,C
0,Partisan Right,Anti-SJW,YouTube,Missing Link Media,C,R
3177650.65991543,Religious Conservative,Religious Conservative,YouTube,YouTube,R,R
583500.113659182,Conspiracy,Partisan Left,YouTube,Mainstream Media,R,L
489589.939485842,Anti-theist,Anti-theist,YouTube,YouTube,C,C
215434.810967507,Conspiracy,Partisan Right,YouTube,Mainstream Media,C,R
1268.423709708,LGBT,Partisan Left,YouTube,Mainstream Media,L,L
3529201.50282506,Social Justice,,Missing Link Media,,L,
290654.590278294,Anti-SJW,Unclassified,YouTube,YouTube,C,C
11949.135375119,Black,Partisan Right,YouTube,YouTube,C,R
2469235.16254304,Partisan Right,Center/Left MSM,YouTube,Mainstream Media,R,C
12671154.8065397,Anti-SJW,Partisan Right,YouTube,Mainstream Media,R,R
384924.486851972,Partisan Left,Unclassified,YouTube,YouTube,L,C
71984.597034426,Black,Center/Left MSM,YouTube,Mainstream Media,C,L
522987.782364471,Anti-SJW,Anti-SJW,YouTube,YouTube,C,R
315620.707316999,QAnon,QAnon,YouTube,YouTube,R,R
49975.038728489,Partisan Right,Religious Conservative,YouTube,YouTube,R,C
28106.938550446,QAnon,Social Justice,YouTube,YouTube,R,L
293971.12654893,Libertarian,Center/Left MSM,YouTube,Mainstream Media,R,C
17863.324869981,Conspiracy,Partisan Left,YouTube,YouTube,C,L
18600.272180688,Libertarian,Unclassified,YouTube,YouTube,R,L
407943.646238488,Social Justice,Partisan Left,YouTube,YouTube,L,L
6037513.81168804,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
2225.607022374,Conspiracy,Black,YouTube,YouTube,R,L
415809.975998943,Unclassified,Partisan Right,YouTube,Mainstream Media,C,R
13475.927178165,Black,Partisan Left,YouTube,YouTube,C,L
439137.04875201,Conspiracy,Conspiracy,YouTube,YouTube,C,C
13935329.7789847,Anti-SJW,Anti-SJW,YouTube,YouTube,C,C
395295.833338473,Center/Left MSM,Social Justice,Mainstream Media,Missing Link Media,C,L
162437.527306097,MRA,Unclassified,YouTube,YouTube,R,C
2302.45564159,Libertarian,Social Justice,YouTube,Missing Link Media,C,L
37303.069600535,Anti-theist,Partisan Left,YouTube,Mainstream Media,L,L
92069.649919319,Partisan Left,Partisan Right,YouTube,YouTube,L,R
78723.933128359,Partisan Left,Libertarian,YouTube,YouTube,L,R
252879.226117017,Socialist,Unclassified,YouTube,YouTube,L,C
4825135.36074937,Social Justice,Partisan Left,Mainstream Media,Mainstream Media,L,L
1005243.63352127,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,R,L
284250.684541322,Black,Black,YouTube,YouTube,L,L
6924.784679333,MRA,Social Justice,YouTube,Mainstream Media,R,L
282802.151286991,Religious Conservative,Unclassified,YouTube,YouTube,R,C
389.778627751,QAnon,Anti-theist,YouTube,YouTube,R,C
63047.593390212,Unclassified,Partisan Right,YouTube,YouTube,R,R
206436.751719413,Anti-SJW,Social Justice,YouTube,Missing Link Media,R,L
1181352.27062069,Unclassified,Unclassified,YouTube,YouTube,R,R
72644.124163855,Conspiracy,Anti-SJW,YouTube,YouTube,C,C
1059.757301331,Black,Partisan Right,YouTube,Missing Link Media,C,R
697.421477429,Partisan Left,QAnon,YouTube,YouTube,L,R
639.307791002,Partisan Right,White Identitarian,YouTube,YouTube,R,R
2473.046267416,Partisan Left,Partisan Left,Mainstream Media,YouTube,L,C
622.409809857,Black,,YouTube,,R,
258.37251823,Anti-SJW,Partisan Right,YouTube,YouTube,R,C
19514.784043497,Anti-SJW,Unclassified,YouTube,YouTube,C,L
666.034719023,Conspiracy,Anti-theist,YouTube,YouTube,C,C
3921379.19089015,Social Justice,Social Justice,Missing Link Media,Missing Link Media,L,L
7778.276569923,Anti-SJW,Center/Left MSM,YouTube,Mainstream Media,L,C
113.944900971,,Socialist,,YouTube,,L
3324.139185044,MRA,Social Justice,YouTube,Missing Link Media,R,L
5859.446841758,Anti-SJW,Partisan Right,Missing Link Media,Missing Link Media,R,R
124.848571941,Black,Black,YouTube,YouTube,C,R
494.189503326,Unclassified,Religious Conservative,YouTube,YouTube,C,C
216.635689775,QAnon,QAnon,YouTube,YouTube,R,C
82.503569158,,Unclassified,,Mainstream Media,,R
56.113710602,Partisan Left,Social Justice,Mainstream Media,YouTube,L,C
3.30596068,Social Justice,Unclassified,YouTube,Mainstream Media,C,R
46446.972846223,Anti-theist,Anti-theist,YouTube,YouTube,L,C
181048.425313658,Libertarian,Unclassified,YouTube,YouTube,R,C
204908.585895482,Social Justice,Unclassified,Missing Link Media,YouTube,L,C
2935602.55306214,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,R,C
8429.134776988,Center/Left MSM,Partisan Left,Mainstream Media,YouTube,C,C
68861.598217813,Partisan Right,Partisan Right,YouTube,Missing Link Media,R,R
49295.307565279,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,L,C
1076418.59616315,Social Justice,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
28471.578289093,Social Justice,Libertarian,YouTube,YouTube,L,R
3421489.36388983,Social Justice,Partisan Left,Missing Link Media,Mainstream Media,L,L
10333.471801011,Anti-SJW,Anti-theist,YouTube,YouTube,R,C
26906.983453919,QAnon,Partisan Left,YouTube,YouTube,R,L
29466.234450258,Socialist,Libertarian,YouTube,YouTube,L,R
303148.487629714,Unclassified,Unclassified,Mainstream Media,Mainstream Media,R,R
92584.622538226,Unclassified,Partisan Left,YouTube,Mainstream Media,R,L
69439.378852524,Religious Conservative,Center/Left MSM,Missing Link Media,Mainstream Media,R,L
