,Progress,Duration (in seconds),Finished,RecordedDate,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q40,Q43,Q43_5_TEXT,Q45,Q45_11_TEXT,Q46,Q35,Q36,Q16,Q19,Q20,Q21,Q97,Q23,Q24,Q26,Q25,Q27,Q92,Q60,Q61,Q62,Q63,Q64,Q67,Q68,Q69,Q95,Q71,Q72,Q81,Q82,Q83,Q85,Q86,Q32
10,100,284,True,2022-10-11 21:18:13,,,33.3804,-112.0246,anonymous,EN,I consent to participate in this survey,Bachelor degree,Non-binary,,White,,Very liberal,At least once every day,Always,"Yes, rarely",triggering videos or just ones made by people i really don't like (like that dream smp guy),"i usually click those little dots on the side saying like ""do not show again"" and tell them i don't like the video. there's two buttons, ""dont show the video"" or ""don't show the channel"" that i use if i don't want to see something.",,video,Yes,No,,,3,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaaa7
11,100,306,True,2022-10-11 21:18:13,,,27.8957,-81.8118,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, sometimes","Right-wing propaganda, anti-feminist content, transphobic content, Fox News","Clicked the button beneath the video thumbnail to open the menu and select ""Not interested"" and/or ""Do not recommend this channel""",,video,Yes,No,,,3,2,Yes,Not sure,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaaa6
12,100,266,True,2022-10-11 21:20:05,,,33.5077,-81.6877,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,"Asian or Asian American,Black or African American",,Liberal,At least once every day,Always,"Yes, rarely","politics, clickbait","mark it as ""not interested""",,video,Yes,No,,,2,2,Yes,No,,,2,Yes,Yes,,Yes,3,,Yes,No,,,3,aaaaaaaaaaaaaaaaaaaaaa11
13,100,344,True,2022-10-11 21:20:48,,,32.8345,-106.0859,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very conservative,At least once every day,Always,"Yes, rarely",On occasions I will receive an influx of children cartoon videos but I primarily utilize YouTube for music. ,I did not take any actions. It seemed like when I searched more music content it would go away after a few days. ,,video,No,No,,,4,2,Yes,Yes,,3,,No,No,,Yes,,5- completely effective,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaaa9
14,100,209,True,2022-10-11 21:20:55,,,34.169,-118.3713,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, rarely",'get sexy abs' type work out videos that pop up when I am working with students,nothing,,video,No,No,,,4,2,Yes,No,,,4,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa12
15,100,332,True,2022-10-11 21:21:08,,,40.5366,-85.6579,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, rarely",just tacky videos that weren't of interest,I just ignored them.,,video,Not sure,No,,,4,2,Yes,Not sure,,,3,No,No,,Yes,,5- completely effective,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa10
16,100,268,True,2022-10-11 21:22:13,,,44.4681,-73.193,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Liberal,At least once every week,Most of the time,"Yes, sometimes",Videos about eating habits or mental health troubles,I just didn't watch them,,video,No,No,,,5- completely effective,5- completely effective,Yes,No,,,2,No,No,,Yes,,5- completely effective,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa14
17,100,470,True,2022-10-11 21:22:39,,,30.0409,-95.5302,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,Black or African American,,Liberal,At least once every day,Always,"Yes, very frequently",Many were of a political nature. Others were just not interesting but there are so many I don't recall,I didn't really do much all the time. every now and then I'd try and block or ignore,,video,Not sure,Not sure,,,2,2,Yes,No,,,Not sure,Yes,Yes,,Yes,Not sure,,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaaaa8
18,100,261,True,2022-10-11 21:23:08,,,28.53,-81.4807,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every week,Always,"Yes, sometimes",Political videos that were not based on any fact,I didn't do anything,,video,No,No,,,4,2,Yes,No,,,4,No,No,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa16
19,100,372,True,2022-10-11 21:24:18,,,37.7562,-122.4866,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Liberal,At least once every week,Most of the time,"Yes, sometimes",they seemed spammy. like influencers trying to show you something.,I did nothing,,video,No,No,,,4,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa15
20,100,325,True,2022-10-11 21:24:27,,,39.4949,-76.6673,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Black or African American,,Very liberal,At least once every day,Always,"Yes, sometimes","Sometimes about horrible events happening, topics I am tired of seeing, and even crime story videos",I click the button to on the video to say i don't want to see that video or that creator,,video,Yes,Yes,,3,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa17
21,100,676,True,2022-10-11 21:24:38,,,34.0021,-81.0423,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Conservative,At least once every day,Less than half of the time,"Yes, rarely","They were a bit on the ""not safe for work"" side, which wasn't something I really wanted to see, especially when I am using it in a room with other people. Sometimes it also recommends content that I am not interested in, but not particularly offensive","I didn't take action to get rid of the unwanted recommendations, I've mostly gotten used to ignoring unwanted recommendations",,video,Yes,Yes,,4,,2,Yes,No,,,2,Not sure,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaaa4
22,100,325,True,2022-10-11 21:25:15,,,45.4805,-122.6363,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, rarely","trump speeches, anti abortion videos, gun violence videos",I just didn't click on them and kept scrolling,,video,No,No,,,3,2,Yes,Yes,,4,,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa18
23,100,276,True,2022-10-11 21:26:23,,,40.1558,-76.7967,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",Mostly videos from creators I already knew I disliked based on previous exposure,"The ""Not Interested"" feature",,video,Yes,No,,,4,2,Yes,Not sure,,,2,Yes,Yes,,Yes,Not sure,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa20
24,100,539,True,2022-10-11 21:26:38,,,35.2025,-97.4835,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every week,Always,"Yes, rarely","conservative content, conservative content creators",none,,video,No,No,,,4,2,Yes,No,,,5- completely effective,No,No,,Yes,,4,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa13
25,100,292,True,2022-10-11 21:26:43,,,47.6137,-122.3104,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Moderate,At least once every day,Always,"Yes, sometimes","Popular Videos, late night talk show videos, music videos",Watched different videos,,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,4,,No,Yes,,Yes,5- completely effective,,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa19
26,100,305,True,2022-10-11 21:26:52,,,33.7485,-84.3871,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Moderate,At least once every day,Always,"Yes, rarely",Videos I just want in to,,,Video,Not sure,No,,,Not sure,2,Yes,No,,,Not sure,Yes,No,,Yes,,4,No,No,,,Not sure,aaaaaaaaaaaaaaaaaaaaaa21
27,100,266,True,2022-10-11 21:26:52,,,29.521,-98.362,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every day,Most of the time,"Yes, rarely","Not safe for work, inappropriate ",Just closed the app. No other actions to prevent it in the future,,Video,No,No,,,3,2,Yes,No,,,2,No,No,,Yes,,3,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa22
28,100,284,True,2022-10-11 21:27:52,,,41.9215,-87.6446,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Hispanic, Latino, Latina, or Latinx,Middle Eastern or Northern African,White",,Liberal,At least once every week,Most of the time,"Yes, rarely",Videos that were negatively critizing for no reason,"Click on the three dots and select ""don't recommend channel"" or ""not interested""",,video,Yes,Yes,,4,,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa23
29,100,321,True,2022-10-11 21:28:54,,,44.9354,-93.1694,anonymous,EN,I consent to participate in this survey,Some college but no degree,Non-binary,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes",political videos with views that opposed my own,marked the video with 'not interested',,video,No,No,,,5- completely effective,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,No,,,4,aaaaaaaaaaaaaaaaaaaaaa25
30,100,409,True,2022-10-11 21:30:04,,,40.1809,-75.2156,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,Asian or Asian American,,Moderate,At least once every day,Most of the time,"Yes, sometimes",videos in languages I do not understand. From creators who I rather not listen or view,I'd click on the icon's context menu and choose either do not recommend or block channel ,,video,Yes,No,,,3,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,2,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaaa24
31,100,289,True,2022-10-11 21:31:06,,,40.6751,-111.8166,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Less than half of the time,"Yes, rarely","Not sure, just remember it happening ",Exited out,,video,No,No,,,Not sure,2,Yes,No,,,2,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa29
32,100,336,True,2022-10-11 21:31:21,,,39.9597,-75.1995,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",Something pro maga,"Hit the 3 dots and dislike or tell it not to recommend, or refresh",,video,Yes,Yes,,3,,4,Yes,Yes,,3,,Yes,Yes,,Yes,3,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa27
33,100,401,True,2022-10-11 21:32:06,,,35.5774,-97.6412,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, rarely",Sexual content ,I always just ignore,,video,No,No,,,Not sure,2,No,No,,,4,No,No,,Yes,,Not sure,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa26
34,100,375,True,2022-10-11 21:34:16,,,41.945,-87.7996,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,White,,Liberal,At least once every month,Always,Never,,,Report the video if needed. Or just close the app. Give an thumbs down ,Video,No,,Yes,,5- completely effective,2,Yes,,Yes,,2,No,,Yes,Yes,,5- completely effective,No,,Yes,,4,aaaaaaaaaaaaaaaaaaaaaa31
35,100,192,True,2022-10-11 21:34:56,,,37.374,-121.8595,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Asian or Asian American,,Moderate,At least once every day,Always,"Yes, very frequently","Videos on people doing stupid acts or personas to receive likes. It's defined as ""cringey.""","Clicked ""not recommend channel"" option",,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,Not sure,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa35
36,100,535,True,2022-10-11 21:35:06,,,39.866,-75.437,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Very liberal,At least once every week,Always,"Yes, rarely",Stupid Vtuber content I don't care about,Clicked on the video and asked for it to not be recommended again,,video,No,No,,,5- completely effective,2,Yes,Yes,,4,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa28
37,100,241,True,2022-10-11 21:35:35,,,32.7597,-97.1019,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Liberal,At least once every day,Most of the time,"Yes, rarely",Dirty comedy,Closed the window,,video,No,No,,,3,2,Yes,No,,,2,Yes,Yes,,Yes,3,,No,No,,,3,aaaaaaaaaaaaaaaaaaaaaa36
38,100,351,True,2022-10-11 21:35:47,,,40.1041,-80.6425,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",NSFW or content Im just not interested in,"I selected ""not interested"" from the settings on the video",,video,Yes,No,,,4,2,Yes,No,,,3,Yes,Yes,,Yes,Not sure,,Yes,No,,,4,aaaaaaaaaaaaaaaaaaaaaa33
39,100,300,True,2022-10-11 21:35:52,,,39.4101,-76.5997,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every week,Most of the time,"Yes, rarely",Generally videos with NSFW thumbnails that could show up at work,I did not perform any action,,video,Yes,No,,,3,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa34
40,100,422,True,2022-10-11 21:35:54,,,33.4889,-112.2173,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Liberal,At least once every day,Always,"Yes, sometimes","Educational videos, and clickbait videos","I clicked the three dots and selected, ""Don't recommend""",,video,Yes,No,,,2,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa32
41,100,294,True,2022-10-11 21:39:33,,,39.7356,-75.5516,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,Black or African American,,Conservative,At least once every day,Always,"Yes, sometimes","Racism, Ableism and misogny ",I would select not interested. ,,video,Yes,Yes,,4,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,2,,aaaaaaaaaaaaaaaaaaaaaa42
42,100,392,True,2022-10-11 21:40:03,,,42.271,-85.542,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Black or African American,,Liberal,At least once every day,Most of the time,"Yes, rarely","It was usually disinformation about history, or openly not safe for work content.","I use the option to make the algorhithm not recommend content like that in the future, I also sometimes check the channel, and if most of the channel's content is of the same nature, I usually block recommendations from the whole channel as well.",,video,Yes,Yes,,4,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaaa39
43,100,443,True,2022-10-11 21:40:17,,,36.6704,-121.6592,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes","youtubers that were controversial, topics concerning murder/crimes",I usually click the kebab menu and click 'not interested' so it or relating videos don't show up anymore,,video,Yes,No,,,1- not at all effective,2,Yes,No,,,2,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa38
44,100,490,True,2022-10-11 21:41:04,,,40.1578,-75.1236,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Black or African American,,Liberal,At least once every day,Always,"Yes, sometimes",Political videos or videos with violence in them,Click the not recommend button,,video,Yes,No,,,3,2,Yes,No,,,2,Yes,Yes,,Yes,3,,Yes,Yes,,3,,aaaaaaaaaaaaaaaaaaaaaa37
45,100,341,True,2022-10-11 21:41:40,,,34.1806,-118.4575,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Liberal,At least once every week,Most of the time,"Yes, very frequently","I was recommended reaction videos, clips containing spoilers for tv shows or movies ",I blocked the accounts and reported videos,,Video ,No,No,,,3,2,Yes,Yes,,2,,No,No,,Yes,,4,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa44
46,100,448,True,2022-10-11 21:43:42,,,30.4566,-84.3223,anonymous,EN,I consent to participate in this survey,Less than high school degree,Woman,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",Just uninterested in these videos,"If it's in subscriptions, I hide it. Otherwise, just ignore it",,video,No,No,,,4,2,Yes,No,,,2,Yes,Yes,,Yes,4,,No,No,,,4,aaaaaaaaaaaaaaaaaaaaaa45
47,100,275,True,2022-10-11 21:43:52,,,30.4132,-87.3138,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Always,"Yes, rarely",Politics,Clicked on the not interested option ,,Video,Yes,No,,,2,2,Yes,No,,,3,Yes,Yes,,Yes,5- completely effective,,Yes,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa55
48,100,599,True,2022-10-11 21:43:58,,,40.8035,-96.651,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,White,,Liberal,At least once every day,Always,Never,,,I would look for the help section to try to find out how to remove it,video,No,,Yes,,5- completely effective,2,Yes,,Not sure,,2,No,,Yes,Yes,,4,No,,Yes,,4,aaaaaaaaaaaaaaaaaaaaaa40
49,100,414,True,2022-10-11 21:44:00,,,41.972,-87.7596,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Moderate,At least once every day,Most of the time,"Yes, sometimes",videos with thumbnails of someone with their mouth open. clickbait. politics. ,i click on the little dots and press don't recommend channel. ,,video,Yes,Yes,,Not sure,,2,Yes,No,,,3,Yes,Yes,,Yes,4,,Yes,Yes,,4,,aaaaaaaaaaaaaaaaaaaaaa47
50,100,565,True,2022-10-11 21:44:42,,,35.5081,-97.6403,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Black or African American,,Liberal,At least once every day,Always,"Yes, sometimes","wrestling,court videos,asmr","I either chose not interested, or don't recommend channel",,video,Yes,No,,,5- completely effective,2,Yes,Yes,,3,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa43
51,100,1050,True,2022-10-11 21:44:52,,,37.2555,-80.0531,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,Black or African American,,Moderate,At least once every day,Most of the time,"Yes, rarely",Gossip type videos,I didn't take any action,,video,No,No,,,5- completely effective,5- completely effective,Yes,No,,,3,Not sure,No,,Yes,,4,No,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa30
52,100,378,True,2022-10-11 21:45:05,,,30.0822,-81.5498,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,"Hispanic, Latino, Latina, or Latinx,White",,Liberal,At least once every day,Always,"Yes, rarely",Sometimes I'll see a video spoiler of a tv show that I'm currently watching.,"I hovered over the video, clicked on the 3 dots and said I wasn't interested in these kind of videos.",,video,Yes,No,,,4,2,Yes,No,,,3,Yes,Yes,,Yes,4,,Yes,No,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa53
53,100,434,True,2022-10-11 21:45:25,,,41.3253,-72.2108,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every week,Always,"Yes, rarely","Triggering content, often things about mental health issues that are difficult for me to watch are suggested to me ",I always say not interested/hide this recommendation when i can ,,video,No,No,,,Not sure,2,Yes,No,,,2,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,aaaaaaaaaaaaaaaaaaaaaa50
54,100,317,True,2022-10-11 21:45:33,,,40.6276,-75.6011,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every week,Always,"Yes, sometimes","Videos that show animals in unsafe situations- beached whales, trapped dogs, etc.","I click on the ""not interested"" or refresh the page so it's not in my view.",,video,Not sure,Not sure,,,1- not at all effective,2,Yes,Yes,,3,,Yes,Yes,,Yes,4,,Yes,Not sure,,,5- completely effective,aaaaaaaaaaaaaaaaaaaaaa58
