StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q41,Q40,Q43,Q43_5_TEXT,Q45,Q45_11_TEXT,Q46,Q35,Q36,Q16,Q19,Q20,Q21,Q97,Q23,Q24,Q26,Q25,Q27,Q92,Q60,Q61,Q62,Q63,Q64,Q67,Q68,Q69,Q95,Q71,Q72,Q81,Q82,Q83,Q85,Q86,Q32,Q42,Random ID
2022-10-11 21:13:29,2022-10-11 21:18:13,IP Address,72.201.14.111,100,284,True,2022-10-11 21:18:13,R_STvhZOjQFrGDxE5,,,,,33.3804,-112.0246,anonymous,EN,I consent to participate in this survey,Bachelor degree,Non-binary,,White,,Very liberal,At least once every day,Always,"Yes, rarely",triggering videos or just ones made by people i really don't like (like that dream smp guy),"i usually click those little dots on the side saying like ""do not show again"" and tell them i don't like the video. there's two buttons, ""dont show the video"" or ""don't show the channel"" that i use if i don't want to see something.",,video,Yes,No,,,3,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,4,,Yes,Yes,,4,,5ed856ab1f4a23368be98b1a,,14163
2022-10-11 21:13:06,2022-10-11 21:18:13,IP Address,73.27.145.49,100,306,True,2022-10-11 21:18:13,R_2E5Lya5S9F2nBRZ,,,,,27.8957,-81.8118,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, sometimes","Right-wing propaganda, anti-feminist content, transphobic content, Fox News","Clicked the button beneath the video thumbnail to open the menu and select ""Not interested"" and/or ""Do not recommend this channel""",,video,Yes,No,,,3,2,Yes,Not sure,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,4,,5f3ae1d68c88967a1d3b86c0,,29109
2022-10-11 21:15:38,2022-10-11 21:20:04,IP Address,72.28.171.16,100,266,True,2022-10-11 21:20:05,R_yrK3r2qmd7MhuWB,,,,,33.5077,-81.6877,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,"Asian or Asian American,Black or African American",,Liberal,At least once every day,Always,"Yes, rarely","politics, clickbait","mark it as ""not interested""",,video,Yes,No,,,2,2,Yes,No,,,2,Yes,Yes,,Yes,3,,Yes,No,,,3,546e72bafdf99b2b8df98426,,52801
2022-10-11 21:15:03,2022-10-11 21:20:48,IP Address,96.61.162.37,100,344,True,2022-10-11 21:20:48,R_tXpic65IVtnjYJP,,,,,32.8345,-106.0859,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very conservative,At least once every day,Always,"Yes, rarely","On occasions I will receive an influx of children cartoon videos but I primarily utilize YouTube for music. ","I did not take any actions. It seemed like when I searched more music content it would go away after a few days. ",,video,No,No,,,4,2,Yes,Yes,,3,,No,No,,Yes,,5- completely effective,No,No,,,5- completely effective,634620d2c30352744ca1ae96,"Awesome survey! ",29240
2022-10-11 21:17:25,2022-10-11 21:20:54,IP Address,68.170.161.149,100,209,True,2022-10-11 21:20:55,R_2cCQwpWCXuyoMja,,,,,34.169,-118.3713,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Very liberal,At least once every day,Most of the time,"Yes, rarely",'get sexy abs' type work out videos that pop up when I am working with students,nothing,,video,No,No,,,4,2,Yes,No,,,4,No,No,,Yes,,4,No,No,,,4,604cf640cc9bedd64ba63711,,95361
2022-10-11 21:15:36,2022-10-11 21:21:08,IP Address,107.147.43.192,100,332,True,2022-10-11 21:21:08,R_25WYXUlcRWNanyF,,,,,40.5366,-85.6579,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, rarely",just tacky videos that weren't of interest,I just ignored them.,,video,Not sure,No,,,4,2,Yes,Not sure,,,3,No,No,,Yes,,5- completely effective,No,No,,,3,623a3d1b72cde1824ccbc6d1,Thanks for showing me options I did not know existed.,54686
2022-10-11 21:17:44,2022-10-11 21:22:13,IP Address,132.198.16.255,100,268,True,2022-10-11 21:22:13,R_2SqK4opGjYVOQQZ,,,,,44.4681,-73.193,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Liberal,At least once every week,Most of the time,"Yes, sometimes",Videos about eating habits or mental health troubles,I just didn't watch them,,video,No,No,,,5- completely effective,5- completely effective,Yes,No,,,2,No,No,,Yes,,5- completely effective,No,No,,,3,6039b3699649cf4b48cd3d12,,51340
2022-10-11 21:14:48,2022-10-11 21:22:39,IP Address,73.55.133.168,100,470,True,2022-10-11 21:22:39,R_1MY6ozFVLLXJNvE,,,,,30.0409,-95.5302,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,Black or African American,,Liberal,At least once every day,Always,"Yes, very frequently",Many were of a political nature. Others were just not interesting but there are so many I don't recall,I didn't really do much all the time. every now and then I'd try and block or ignore,,video,Not sure,Not sure,,,2,2,Yes,No,,,Not sure,Yes,Yes,,Yes,Not sure,,No,No,,,Not sure,5d20189bb34728001a230962,,90088
2022-10-11 21:18:47,2022-10-11 21:23:08,IP Address,184.88.225.110,100,261,True,2022-10-11 21:23:08,R_Rt5DHDr9iVceD73,,,,,28.53,-81.4807,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Liberal,At least once every week,Always,"Yes, sometimes",Political videos that were not based on any fact,I didn't do anything,,video,No,No,,,4,2,Yes,No,,,4,No,No,,Yes,,3,No,No,,,4,5e8519a0da382910980598ad,,23028
2022-10-11 21:18:05,2022-10-11 21:24:18,IP Address,104.177.32.94,100,372,True,2022-10-11 21:24:18,R_3J9sh8LSN3dAKCe,,,,,37.7562,-122.4866,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,Asian or Asian American,,Liberal,At least once every week,Most of the time,"Yes, sometimes",they seemed spammy. like influencers trying to show you something.,I did nothing,,video,No,No,,,4,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,4,5f473eafdbc4a2121ceae963,,68124
2022-10-11 21:19:00,2022-10-11 21:24:26,IP Address,71.200.61.30,100,325,True,2022-10-11 21:24:27,R_AHyaws72fWTw4Hn,,,,,39.4949,-76.6673,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,Black or African American,,Very liberal,At least once every day,Always,"Yes, sometimes","Sometimes about horrible events happening, topics I am tired of seeing, and even crime story videos",I click the button to on the video to say i don't want to see that video or that creator,,video,Yes,Yes,,3,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,4,,60cac6e750602e711ed5efc6,,93996
2022-10-11 21:13:21,2022-10-11 21:24:38,IP Address,172.56.4.88,100,676,True,2022-10-11 21:24:38,R_2YrZonstjT0yX57,,,,,34.0021,-81.0423,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,White,,Conservative,At least once every day,Less than half of the time,"Yes, rarely","They were a bit on the ""not safe for work"" side, which wasn't something I really wanted to see, especially when I am using it in a room with other people. Sometimes it also recommends content that I am not interested in, but not particularly offensive","I didn't take action to get rid of the unwanted recommendations, I've mostly gotten used to ignoring unwanted recommendations",,video,Yes,Yes,,4,,2,Yes,No,,,2,Not sure,No,,Yes,,4,No,No,,,5- completely effective,60032cbd8a28b60ae4455a67,,52844
2022-10-11 21:19:49,2022-10-11 21:25:14,IP Address,67.161.109.63,100,325,True,2022-10-11 21:25:15,R_21aBV4Hvh49H01T,,,,,45.4805,-122.6363,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, rarely","trump speeches, anti abortion videos, gun violence videos",I just didn't click on them and kept scrolling,,video,No,No,,,3,2,Yes,Yes,,4,,No,No,,Yes,,4,No,No,,,4,6114ba31072fc0bcc226b89d,,66173
2022-10-11 21:21:46,2022-10-11 21:26:23,IP Address,24.229.213.248,100,276,True,2022-10-11 21:26:23,R_125CoOxoKUP0krx,,,,,40.1558,-76.7967,anonymous,EN,I consent to participate in this survey,Associate degree,Man,,White,,Conservative,At least once every day,Always,"Yes, sometimes",Mostly videos from creators I already knew I disliked based on previous exposure,"The ""Not Interested"" feature",,video,Yes,No,,,4,2,Yes,Not sure,,,2,Yes,Yes,,Yes,Not sure,,Yes,Yes,,5- completely effective,,5b76d0f5fca8d9000139404c,,92279
2022-10-11 21:17:38,2022-10-11 21:26:38,IP Address,165.166.44.51,100,539,True,2022-10-11 21:26:38,R_R1U3fkRSGB7Gnlf,,,,,35.2025,-97.4835,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every week,Always,"Yes, rarely","conservative content, conservative content creators",none,,video,No,No,,,4,2,Yes,No,,,5- completely effective,No,No,,Yes,,4,No,No,,,3,6164b50e8241aea60d845af8,none,30127
2022-10-11 21:21:49,2022-10-11 21:26:42,IP Address,24.56.231.190,100,292,True,2022-10-11 21:26:43,R_eXRWVVJ5npW1ri1,,,,,47.6137,-122.3104,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Moderate,At least once every day,Always,"Yes, sometimes","Popular Videos, late night talk show videos, music videos",Watched different videos,,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,4,,No,Yes,,Yes,5- completely effective,,No,No,,,4,631642cc32dcd0f19447027c,Survey was very nice and short. Enjoyed it because I use YouTube every single day.,64542
2022-10-11 21:21:46,2022-10-11 21:26:52,IP Address,166.196.58.51,100,305,True,2022-10-11 21:26:52,R_2WIjPAhaPum8ytu,,,,,33.7485,-84.3871,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Woman,,White,,Moderate,At least once every day,Always,"Yes, rarely",Videos I just want in to,None,,Video,Not sure,No,,,Not sure,2,Yes,No,,,Not sure,Yes,No,,Yes,,4,No,No,,,Not sure,5e901ca73d1b5732010af805,,93265
2022-10-11 21:22:26,2022-10-11 21:26:52,IP Address,70.120.59.84,100,266,True,2022-10-11 21:26:52,R_3PvLuyqojtSuuTf,,,,,29.521,-98.362,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Moderate,At least once every day,Most of the time,"Yes, rarely","Not safe for work, inappropriate ",Just closed the app. No other actions to prevent it in the future,,Video,No,No,,,3,2,Yes,No,,,2,No,No,,Yes,,3,No,No,,,4,60fceb908212191d4efd354e,,65655
2022-10-11 21:23:07,2022-10-11 21:27:52,IP Address,98.52.41.149,100,284,True,2022-10-11 21:27:52,R_3LYb8rTLY93OuFb,,,,,41.9215,-87.6446,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,"Hispanic, Latino, Latina, or Latinx,Middle Eastern or Northern African,White",,Liberal,At least once every week,Most of the time,"Yes, rarely",Videos that were negatively critizing for no reason,"Click on the three dots and select ""don't recommend channel"" or ""not interested""",,video,Yes,Yes,,4,,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,Yes,,4,,5a9c44d2f05361000172055b,,52925
2022-10-11 21:23:32,2022-10-11 21:28:53,IP Address,24.7.238.77,100,321,True,2022-10-11 21:28:54,R_CmOPkLHbRn1Fnah,,,,,44.9354,-93.1694,anonymous,EN,I consent to participate in this survey,Some college but no degree,Non-binary,,Asian or Asian American,,Liberal,At least once every day,Always,"Yes, sometimes",political videos with views that opposed my own,marked the video with 'not interested',,video,No,No,,,5- completely effective,2,Yes,No,,,2,Yes,Yes,,Yes,4,,Yes,No,,,4,60bea43aa26919517334ed4a,,32583
2022-10-11 21:23:15,2022-10-11 21:30:04,IP Address,173.75.251.29,100,409,True,2022-10-11 21:30:04,R_3FPACFSy7qVI6EP,,,,,40.1809,-75.2156,anonymous,EN,I consent to participate in this survey,Graduate degree,Man,,Asian or Asian American,,Moderate,At least once every day,Most of the time,"Yes, sometimes",videos in languages I do not understand. From creators who I rather not listen or view,"I'd click on the icon's context menu and choose either do not recommend or block channel ",,video,Yes,No,,,3,2,Yes,Yes,,1- not at all effective,,Yes,Yes,,Yes,2,,Yes,Yes,,3,,614f0ff6e7ebe684d2697c60,,45253
2022-10-11 21:26:15,2022-10-11 21:31:05,IP Address,136.36.250.51,100,289,True,2022-10-11 21:31:06,R_3nox0sFqCzDkqy6,,,,,40.6751,-111.8166,anonymous,EN,I consent to participate in this survey,Bachelor degree,Woman,,White,,Liberal,At least once every week,Less than half of the time,"Yes, rarely","Not sure, just remember it happening ",Exited out,,video,No,No,,,Not sure,2,Yes,No,,,2,No,No,,Yes,,4,No,No,,,4,61088f102428b60cde829d29,"It would be good to have a question at the beginning regarding how often we watch YouTube with another person. Majority of the YouTube videos I watch, I watch with my spouse or on our TV which is logged in to his account (not mine).

Also might want to ask what device we watch on (not sure if the buttons change?)",69813
2022-10-11 21:25:44,2022-10-11 21:31:20,IP Address,71.185.214.132,100,336,True,2022-10-11 21:31:21,R_sUm7vl5qedoEqRz,,,,,39.9597,-75.1995,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",Something pro maga,"Hit the 3 dots and dislike or tell it not to recommend, or refresh",,video,Yes,Yes,,3,,4,Yes,Yes,,3,,Yes,Yes,,Yes,3,,Yes,Yes,,4,,62b0ad6464a111ff05a05b01,,54686
2022-10-11 21:25:24,2022-10-11 21:32:05,IP Address,68.227.122.37,100,401,True,2022-10-11 21:32:06,R_3sgCYPwLRDkKhCM,,,,,35.5774,-97.6412,anonymous,EN,I consent to participate in this survey,Some college but no degree,Woman,,White,,Very liberal,At least once every week,Most of the time,"Yes, rarely","Sexual content ",I always just ignore,,video,No,No,,,Not sure,2,No,No,,,4,No,No,,Yes,,Not sure,No,No,,,4,5fd14598fd2de30f5eea2fc4,I actually learned quite a bit.,41912
2022-10-11 21:28:00,2022-10-11 21:34:16,IP Address,73.211.172.213,100,375,True,2022-10-11 21:34:16,R_W0BPc0hiqfoR2oN,,,,,41.945,-87.7996,anonymous,EN,I consent to participate in this survey,Associate degree,Woman,,White,,Liberal,At least once every month,Always,Never,,,"Report the video if needed. Or just close the app. Give an thumbs down ",Video,No,,Yes,,5- completely effective,2,Yes,,Yes,,2,No,,Yes,Yes,,5- completely effective,No,,Yes,,4,61099f0e6ed4b1209619f76c,,34777
2022-10-11 21:31:43,2022-10-11 21:34:55,IP Address,107.77.211.116,100,192,True,2022-10-11 21:34:56,R_2e427rvVNOreSs9,,,,,37.374,-121.8595,anonymous,EN,I consent to participate in this survey,Some college but no degree,Man,,Asian or Asian American,,Moderate,At least once every day,Always,"Yes, very frequently","Videos on people doing stupid acts or personas to receive likes. It's defined as ""cringey.""","Clicked ""not recommend channel"" option",,video,Yes,Yes,,5- completely effective,,2,Yes,Yes,,Not sure,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,60c453bcaa4c869173561045,,23492
2022-10-11 21:26:10,2022-10-11 21:35:05,IP Address,72.92.25.16,100,535,True,2022-10-11 21:35:06,R_3dQgDNO03XgnWZr,,,,,39.866,-75.437,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Very liberal,At least once every week,Always,"Yes, rarely",Stupid Vtuber content I don't care about,Clicked on the video and asked for it to not be recommended again,,video,No,No,,,5- completely effective,2,Yes,Yes,,4,,Yes,Yes,,Yes,5- completely effective,,Yes,Yes,,5- completely effective,,62e7a39873d0acf103782291,,41511
2022-10-11 21:31:34,2022-10-11 21:35:35,IP Address,174.246.131.63,100,241,True,2022-10-11 21:35:35,R_wM1RfCmUS40N0cx,,,,,32.7597,-97.1019,anonymous,EN,I consent to participate in this survey,Graduate degree,Woman,,White,,Liberal,At least once every day,Most of the time,"Yes, rarely",Dirty comedy,Closed the window,,video,No,No,,,3,2,Yes,No,,,2,Yes,Yes,,Yes,3,,No,No,,,3,611ab9f643ec1cea26df2ea1,,24446
2022-10-11 21:29:54,2022-10-11 21:35:46,IP Address,174.251.192.38,100,351,True,2022-10-11 21:35:47,R_2xJHoq2a76awOcp,,,,,40.1041,-80.6425,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Very liberal,At least once every day,Always,"Yes, sometimes",NSFW or content Im just not interested in,"I selected ""not interested"" from the settings on the video",,video,Yes,No,,,4,2,Yes,No,,,3,Yes,Yes,,Yes,Not sure,,Yes,No,,,4,5dc8c3d5b9d904627249ffbe,,74464
2022-10-11 21:30:51,2022-10-11 21:35:52,IP Address,71.200.60.254,100,300,True,2022-10-11 21:35:52,R_2rOPRKi6tadVNfR,,,,,39.4101,-76.5997,anonymous,EN,I consent to participate in this survey,Bachelor degree,Man,,White,,Liberal,At least once every week,Most of the time,"Yes, rarely",Generally videos with NSFW thumbnails that could show up at work,I did not perform any action,,video,Yes,No,,,3,2,Yes,No,,,3,No,No,,Yes,,4,No,No,,,5- completely effective,5623f187ed6e5a0011c81083,,14051
2022-10-11 21:28:51,2022-10-11 21:35:54,IP Address,172.56.184.164,100,422,True,2022-10-11 21:35:54,R_3irIp3YiOABQXaU,,,,,33.4889,-112.2173,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,White,,Liberal,At least once every day,Always,"Yes, sometimes","Educational videos, and clickbait videos","I clicked the three dots and selected, ""Don't recommend""",,video,Yes,No,,,2,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,4,,Yes,Yes,,5- completely effective,,628e0027890e402262ec3e33,,71316
2022-10-11 21:34:38,2022-10-11 21:39:32,IP Address,73.188.100.61,100,294,True,2022-10-11 21:39:33,R_2rxsEjLcmqu00MB,,,,,39.7356,-75.5516,anonymous,EN,I consent to participate in this survey,"High school degree or equivalent (e.g., GED)",Man,,Black or African American,,Conservative,At least once every day,Always,"Yes, sometimes","Racism, Ableism and misogny ","I would select not interested. ",,video,Yes,Yes,,4,,2,Yes,No,,,1- not at all effective,Yes,Yes,,Yes,3,,Yes,Yes,,2,,6116b1860a4c099ceac9d82b,,98948
